dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,16,False,"[101.269, 101.037, 100.203]","[0.0, 0.215, 0.0]",1207,21,1,9064
False,False,1,False,"[101.398, 100.822, 100.391]","[0.129, 0.0, 0.188]",1207,20,2,9064
False,False,11,False,"[101.756, 101.131, 100.495]","[0.487, 0.309, 0.292]",1207,21,3,9064
False,False,55,False,"[102.197, 101.369, 101.016]","[0.928, 0.547, 0.813]",1207,24,4,9064
False,False,44,False,"[102.113, 101.65, 101.177]","[0.844, 0.828, 0.974]",1207,24,5,9064
False,False,14,False,"[101.72, 101.37, 101.253]","[0.451, 0.548, 1.05]",1207,23,6,9064
False,False,4,False,"[102.154, 101.485, 101.281]","[0.885, 0.663, 1.078]",1207,20,7,9064
False,False,22,False,"[102.234, 101.569, 101.581]","[0.965, 0.747, 1.378]",1207,23,8,9064
False,False,18,False,"[102.524, 101.576, 101.611]","[1.255, 0.754, 1.408]",1207,23,9,9064
False,False,81,False,"[102.455, 101.636, 101.611]","[1.186, 0.814, 1.408]",1207,24,10,9064
False,False,63,False,"[102.073, 101.654, None]","[0.804, 0.832, None]",1207,18,11,9064
False,False,31,False,"[102.622, 101.798, None]","[1.353, 0.976, None]",1207,19,12,9064
False,False,23,False,"[102.171, 101.818, None]","[0.902, 0.996, None]",1207,19,13,9064
False,False,77,False,"[102.582, 102.259, None]","[1.313, 1.437, None]",1207,19,14,9064
False,False,2,False,"[102.242, 102.395, None]","[0.973, 1.573, None]",1207,19,15,9064
False,False,24,False,"[102.642, None, None]","[1.373, None, None]",1207,11,16,9064
False,False,27,False,"[102.755, None, None]","[1.486, None, None]",1207,10,17,9064
False,False,20,False,"[103.417, None, None]","[2.148, None, None]",1207,9,18,9064
False,False,10,False,"[104.853, None, None]","[3.584, None, None]",1207,6,19,9064
False,False,21,False,"[115.282, None, None]","[14.013, None, None]",1207,3,,9064
