dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,16,False,"[102.82, 102.5, 101.697]","[0.0, 0.083, 0.0]",1207,14,1,9278
False,False,11,False,"[103.858, 102.925, 101.844]","[1.038, 0.508, 0.147]",1207,15,2,9278
False,False,1,False,"[103.288, 102.417, 101.987]","[0.468, 0.0, 0.29]",1207,13,3,9278
False,False,63,False,"[103.763, 103.112, 102.252]","[0.943, 0.695, 0.555]",1207,18,4,9278
False,False,55,False,"[103.622, 102.909, 102.287]","[0.802, 0.492, 0.59]",1207,15,5,9278
False,False,44,False,"[103.561, 103.061, 102.502]","[0.741, 0.644, 0.805]",1207,17,6,9278
False,False,23,False,"[103.987, 103.376, 102.846]","[1.167, 0.959, 1.149]",1207,17,7,9278
False,False,14,False,"[103.789, 102.976, 103.01]","[0.969, 0.559, 1.313]",1207,16,8,9278
False,False,18,False,"[103.879, 103.375, 103.064]","[1.059, 0.958, 1.367]",1207,17,9,9278
False,False,4,False,"[103.938, 103.395, None]","[1.118, 0.978, None]",1207,12,10,9278
False,False,81,False,"[104.179, 103.427, None]","[1.359, 1.01, None]",1207,12,11,9278
False,False,27,False,"[104.843, 103.806, None]","[2.023, 1.389, None]",1207,12,12,9278
False,False,31,False,"[104.433, 104.088, None]","[1.613, 1.671, None]",1207,11,13,9278
False,False,20,False,"[104.101, 104.332, None]","[1.281, 1.915, None]",1207,11,14,9278
False,False,2,False,"[104.042, None, None]","[1.222, None, None]",1207,6,15,9278
False,False,24,False,"[105.177, None, None]","[2.357, None, None]",1207,6,16,9278
False,False,77,False,"[105.352, None, None]","[2.532, None, None]",1207,6,17,9278
False,False,22,False,"[105.436, None, None]","[2.616, None, None]",1207,6,18,9278
False,False,10,False,"[106.951, None, None]","[4.131, None, None]",1207,3,19,9278
False,False,21,False,"[108.18, None, None]","[5.36, None, None]",1207,6,20,9278
