dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[95.997, 95.181, 94.538]","[0.0, 0.0, 0.0]",1222,11,1,9294
False,False,16,False,"[95.999, 95.386, 94.593]","[0.002, 0.205, 0.055]",1222,14,2,9294
False,False,44,False,"[96.393, 95.887, 94.607]","[0.396, 0.706, 0.069]",1222,12,3,9294
False,False,4,False,"[96.499, 95.594, 94.639]","[0.502, 0.413, 0.101]",1222,15,4,9294
False,False,81,False,"[96.703, 95.753, 94.894]","[0.706, 0.572, 0.356]",1222,15,5,9294
False,False,55,False,"[96.268, 95.542, 94.939]","[0.271, 0.361, 0.401]",1222,14,6,9294
False,False,11,False,"[96.347, 95.718, 95.041]","[0.35, 0.537, 0.503]",1222,14,7,9294
False,False,63,False,"[96.281, 95.847, 95.199]","[0.284, 0.666, 0.661]",1222,12,8,9294
False,False,23,False,"[96.23, 95.947, 95.366]","[0.233, 0.766, 0.828]",1222,12,9,9294
False,False,10,False,"[96.595, 95.785, 95.897]","[0.598, 0.604, 1.359]",1222,12,10,9294
False,False,3,False,"[96.737, 95.978, None]","[0.74, 0.797, None]",1222,9,11,9294
False,False,14,False,"[96.365, 96.087, None]","[0.368, 0.906, None]",1222,9,12,9294
False,False,31,False,"[96.372, 96.137, None]","[0.375, 0.956, None]",1222,9,13,9294
False,False,18,False,"[96.575, 96.181, None]","[0.578, 1.0, None]",1222,11,14,9294
False,False,24,False,"[96.554, 96.182, None]","[0.557, 1.001, None]",1222,11,15,9294
False,False,27,False,"[96.749, None, None]","[0.752, None, None]",1222,6,16,9294
False,False,20,False,"[96.922, None, None]","[0.925, None, None]",1222,6,17,9294
False,False,77,False,"[96.922, None, None]","[0.925, None, None]",1222,6,18,9294
False,False,22,False,"[96.945, None, None]","[0.948, None, None]",1222,5,19,9294
False,False,2,False,"[97.186, None, None]","[1.189, None, None]",1222,6,20,9294
