dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[118.135, 115.2, 109.056]","[0.0, 0.0, 0.0]",1216,14,1,9286
False,False,81,False,"[120.056, 116.392, 109.067]","[1.921, 1.192, 0.011]",1216,14,2,9286
False,False,55,False,"[119.414, 116.557, 109.081]","[1.279, 1.357, 0.025]",1216,14,3,9286
False,False,16,False,"[119.575, 116.265, 109.251]","[1.44, 1.065, 0.195]",1216,14,4,9286
False,False,4,False,"[120.436, 116.828, 109.389]","[2.301, 1.628, 0.333]",1216,16,5,9286
False,False,10,False,"[120.032, 116.137, 109.7]","[1.897, 0.937, 0.644]",1216,15,6,9286
False,False,44,False,"[118.939, 115.823, 109.9]","[0.804, 0.623, 0.844]",1216,16,7,9286
False,False,11,False,"[119.362, 115.878, 109.961]","[1.227, 0.678, 0.905]",1216,14,8,9286
False,False,31,False,"[119.884, 117.051, 110.494]","[1.749, 1.851, 1.438]",1216,15,9,9286
False,False,63,False,"[120.475, 117.393, 115.742]","[2.34, 2.193, 6.686]",1216,13,10,9286
False,False,3,False,"[120.177, 117.687, None]","[2.042, 2.487, None]",1216,10,11,9286
True,False,23,False,"[119.198, None, None]","[1.063, None, None]",1216,8,12,9286
True,False,2,False,"[120.031, None, None]","[1.896, None, None]",1216,10,13,9286
True,False,18,False,"[120.46, None, None]","[2.325, None, None]",1216,9,14,9286
False,True,14,False,"[119.038, None, None]","[0.903, None, None]",1216,6,15,9286
False,False,22,False,"[120.568, None, None]","[2.433, None, None]",1216,6,16,9286
False,False,77,False,"[120.951, None, None]","[2.816, None, None]",1216,6,17,9286
False,False,20,False,"[121.079, None, None]","[2.944, None, None]",1216,7,18,9286
False,False,24,False,"[121.43, None, None]","[3.295, None, None]",1216,7,19,9286
True,False,27,False,"[None, None, None]","[None, None, None]",1216,6,,9286
