dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[89.878, 89.964, 88.877]","[0.0, 0.024, 0.0]",1220,12,1,9169
False,False,81,False,"[90.439, 90.122, 89.458]","[0.561, 0.182, 0.581]",1220,14,2,9169
False,False,4,False,"[90.063, 90.296, 89.493]","[0.185, 0.356, 0.616]",1220,12,3,9169
False,False,16,False,"[90.393, 89.94, 89.542]","[0.515, 0.0, 0.665]",1220,14,4,9169
False,False,11,False,"[90.652, 89.965, 89.65]","[0.774, 0.025, 0.773]",1220,18,5,9169
False,False,55,False,"[90.651, 90.067, 89.85]","[0.773, 0.127, 0.973]",1220,14,6,9169
False,False,44,False,"[90.811, 90.04, 89.908]","[0.933, 0.1, 1.031]",1220,18,7,9169
False,False,63,False,"[90.811, 90.268, 90.219]","[0.933, 0.328, 1.342]",1220,15,8,9169
False,False,22,False,"[90.733, 90.204, 90.303]","[0.855, 0.264, 1.426]",1220,18,9,9169
False,False,14,False,"[90.971, 90.465, 90.56]","[1.093, 0.525, 1.683]",1220,15,10,9169
False,False,40,False,"[90.425, 90.508, None]","[0.547, 0.568, None]",1220,16,11,9169
False,False,10,False,"[90.843, 90.509, None]","[0.965, 0.569, None]",1220,12,12,9169
False,False,23,False,"[90.941, 90.537, None]","[1.063, 0.597, None]",1220,12,13,9169
False,False,31,False,"[90.96, 90.586, None]","[1.082, 0.646, None]",1220,12,14,9169
False,False,20,False,"[90.976, 90.665, None]","[1.098, 0.725, None]",1220,9,15,9169
False,False,77,False,"[91.049, None, None]","[1.171, None, None]",1220,5,16,9169
False,False,18,False,"[91.181, None, None]","[1.303, None, None]",1220,7,17,9169
False,False,27,False,"[91.299, None, None]","[1.421, None, None]",1220,6,18,9169
False,False,24,False,"[91.398, None, None]","[1.52, None, None]",1220,6,19,9169
True,False,2,False,"[None, None, None]","[None, None, None]",1220,2,,9169
