dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,11,False,"[89.244, 88.635, 88.265]","[0.483, 0.0, 0.0]",1142,18,1,7775
False,False,16,False,"[89.376, 88.903, 88.42]","[0.615, 0.268, 0.155]",1142,19,2,7775
False,False,14,False,"[89.298, 88.757, 88.73]","[0.537, 0.122, 0.465]",1142,18,3,7775
False,False,63,False,"[89.592, 89.132, 88.857]","[0.831, 0.497, 0.592]",1142,21,4,7775
False,False,55,False,"[89.411, 88.957, 88.931]","[0.65, 0.322, 0.666]",1142,24,5,7775
False,False,18,False,"[89.335, 88.962, 88.945]","[0.574, 0.327, 0.68]",1142,20,6,7775
False,False,31,False,"[89.707, 89.255, 89.078]","[0.946, 0.62, 0.813]",1142,24,7,7775
False,False,44,False,"[89.689, 89.374, 89.223]","[0.928, 0.739, 0.958]",1142,21,8,7775
False,False,81,False,"[89.706, 89.378, 89.243]","[0.945, 0.743, 0.978]",1142,23,9,7775
False,False,10,False,"[89.89, 89.411, 89.357]","[1.129, 0.776, 1.092]",1142,23,10,7775
False,False,27,False,"[89.547, 89.451, None]","[0.786, 0.816, None]",1142,18,11,7775
False,False,24,False,"[89.654, 89.461, None]","[0.893, 0.826, None]",1142,18,12,7775
False,False,20,False,"[89.744, 89.634, None]","[0.983, 0.999, None]",1142,17,13,7775
False,False,77,False,"[89.929, 89.668, None]","[1.168, 1.033, None]",1142,18,14,7775
False,False,1,False,"[88.761, 109.953, None]","[0.0, 21.318, None]",1142,6,15,7775
False,False,22,False,"[89.939, None, None]","[1.178, None, None]",1142,10,16,7775
False,False,23,False,"[89.994, None, None]","[1.233, None, None]",1142,9,17,7775
False,False,21,False,"[90.244, None, None]","[1.483, None, None]",1142,10,18,7775
False,False,4,False,"[90.447, None, None]","[1.686, None, None]",1142,4,19,7775
False,False,2,False,"[128.51, None, None]","[39.749, None, None]",1142,8,,7775
