dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[80.965, 78.856, 70.567]","[0.026, 0.0, 0.0]",1217,31,1,9145
False,False,4,False,"[81.276, 79.769, 71.104]","[0.337, 0.913, 0.537]",1217,30,2,9145
False,False,63,False,"[81.345, 79.62, 71.294]","[0.406, 0.764, 0.727]",1217,32,3,9145
False,False,23,False,"[80.939, 79.399, 71.419]","[0.0, 0.543, 0.852]",1217,32,4,9145
False,False,14,False,"[81.84, 79.429, 71.506]","[0.901, 0.573, 0.939]",1217,30,5,9145
False,False,55,False,"[81.321, 79.929, 71.754]","[0.382, 1.073, 1.187]",1217,32,6,9145
False,False,11,False,"[81.972, 79.856, 71.88]","[1.033, 1.0, 1.313]",1217,33,7,9145
False,False,81,False,"[81.231, 79.392, 71.938]","[0.292, 0.536, 1.371]",1217,31,8,9145
False,False,16,False,"[82.019, 79.6, 72.665]","[1.08, 0.744, 2.098]",1217,27,9,9145
False,False,2,False,"[82.036, 80.067, 76.748]","[1.097, 1.211, 6.181]",1217,27,10,9145
False,False,18,False,"[81.57, 80.121, None]","[0.631, 1.265, None]",1217,22,11,9145
False,False,10,False,"[81.735, 80.128, None]","[0.796, 1.272, None]",1217,21,12,9145
False,False,44,False,"[81.919, 80.151, None]","[0.98, 1.295, None]",1217,23,13,9145
False,False,22,False,"[81.781, 80.23, None]","[0.842, 1.374, None]",1217,22,14,9145
False,False,27,False,"[81.891, 80.25, None]","[0.952, 1.394, None]",1217,20,15,9145
False,False,24,False,"[82.067, None, None]","[1.128, None, None]",1217,12,16,9145
False,False,31,False,"[82.11, None, None]","[1.171, None, None]",1217,12,17,9145
False,False,20,False,"[82.192, None, None]","[1.253, None, None]",1217,11,18,9145
False,False,77,False,"[82.26, None, None]","[1.321, None, None]",1217,12,19,9145
False,False,40,False,"[83.42, None, None]","[2.481, None, None]",1217,12,20,9145
