dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[91.295, 90.503, 89.708]","[0.302, 0.221, 0.0]",1141,15,1,7768
False,False,11,False,"[91.479, 90.746, 89.846]","[0.486, 0.464, 0.138]",1141,15,2,7768
False,False,16,False,"[91.094, 90.282, 90.0]","[0.101, 0.0, 0.292]",1141,17,3,7768
False,False,55,False,"[90.993, 90.515, 90.154]","[0.0, 0.233, 0.446]",1141,18,4,7768
False,False,14,False,"[91.158, 90.645, 90.336]","[0.165, 0.363, 0.628]",1141,15,5,7768
False,False,63,False,"[91.057, 90.507, 90.34]","[0.064, 0.225, 0.632]",1141,15,6,7768
False,False,44,False,"[91.543, 90.513, 90.384]","[0.55, 0.231, 0.676]",1141,15,7,7768
False,False,18,False,"[91.184, 91.127, 90.836]","[0.191, 0.845, 1.128]",1141,18,8,7768
False,False,31,False,"[91.508, 90.914, 90.984]","[0.515, 0.632, 1.276]",1141,15,9,7768
True,False,27,False,"[91.204, 90.809, None]","[0.211, 0.527, None]",1141,17,10,7768
False,False,4,False,"[91.652, 91.381, None]","[0.659, 1.099, None]",1141,13,11,7768
False,False,77,False,"[91.504, 91.443, None]","[0.511, 1.161, None]",1141,12,12,7768
False,False,24,False,"[91.615, 91.473, None]","[0.622, 1.191, None]",1141,12,13,7768
False,False,22,False,"[91.4, 92.51, None]","[0.407, 2.228, None]",1141,15,14,7768
True,False,23,False,"[91.461, None, None]","[0.468, None, None]",1141,8,15,7768
False,False,2,False,"[91.652, None, None]","[0.659, None, None]",1141,6,16,7768
False,False,20,False,"[91.892, None, None]","[0.899, None, None]",1141,6,17,7768
False,False,81,False,"[92.101, None, None]","[1.108, None, None]",1141,7,18,7768
False,False,21,False,"[92.121, None, None]","[1.128, None, None]",1141,9,19,7768
False,False,10,False,"[92.181, None, None]","[1.188, None, None]",1141,6,20,7768
