dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[66.236, 65.371, 64.44]","[0.049, 0.0, 0.0]",1213,23,1,9282
False,False,11,False,"[66.924, 65.836, 64.933]","[0.737, 0.465, 0.493]",1213,23,2,9282
False,False,4,False,"[66.723, 65.699, 65.01]","[0.536, 0.328, 0.57]",1213,23,3,9282
False,False,27,False,"[66.548, 66.091, 65.084]","[0.361, 0.72, 0.644]",1213,23,4,9282
False,False,55,False,"[66.187, 65.434, 65.136]","[0.0, 0.063, 0.696]",1213,18,5,9282
False,False,16,False,"[67.061, 65.673, 65.245]","[0.874, 0.302, 0.805]",1213,23,6,9282
False,False,14,False,"[66.611, 65.759, 65.258]","[0.424, 0.388, 0.818]",1213,24,7,9282
False,False,18,False,"[66.569, 65.914, 65.347]","[0.382, 0.543, 0.907]",1213,24,8,9282
False,False,31,False,"[66.84, 65.604, 65.366]","[0.653, 0.233, 0.926]",1213,24,9,9282
False,False,20,False,"[66.629, 65.73, 65.912]","[0.442, 0.359, 1.472]",1213,23,10,9282
False,False,23,False,"[66.892, 66.152, None]","[0.705, 0.781, None]",1213,18,11,9282
False,False,10,False,"[66.873, 66.36, None]","[0.686, 0.989, None]",1213,16,12,9282
False,False,22,False,"[66.896, 66.369, None]","[0.709, 0.998, None]",1213,18,13,9282
False,False,21,False,"[66.704, 66.593, None]","[0.517, 1.222, None]",1213,18,14,9282
False,False,63,False,"[66.653, None, None]","[0.466, None, None]",1213,10,15,9282
False,False,24,False,"[67.062, None, None]","[0.875, None, None]",1213,9,16,9282
False,False,81,False,"[67.106, None, None]","[0.919, None, None]",1213,10,17,9282
False,False,44,False,"[67.282, None, None]","[1.095, None, None]",1213,9,18,9282
False,False,77,False,"[67.291, None, None]","[1.104, None, None]",1213,9,19,9282
False,False,2,False,"[67.426, None, None]","[1.239, None, None]",1213,10,20,9282
