dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[73.615, 72.76, 72.272]","[0.678, 0.0, 0.0]",1211,20,1,9098
False,False,55,False,"[73.411, 72.79, 72.734]","[0.474, 0.03, 0.462]",1211,22,2,9098
False,False,4,False,"[73.295, 72.776, 72.792]","[0.358, 0.016, 0.52]",1211,22,3,9098
False,False,10,False,"[73.471, 73.186, 72.816]","[0.534, 0.426, 0.544]",1211,21,4,9098
False,False,44,False,"[72.937, 72.999, 72.818]","[0.0, 0.239, 0.546]",1211,23,5,9098
False,False,18,False,"[73.766, 73.082, 72.994]","[0.829, 0.322, 0.722]",1211,23,6,9098
False,False,31,False,"[73.433, 73.001, 73.083]","[0.496, 0.241, 0.811]",1211,21,7,9098
False,False,27,False,"[73.42, 73.283, 73.229]","[0.483, 0.523, 0.957]",1211,18,8,9098
False,False,14,False,"[73.747, 73.098, 73.507]","[0.81, 0.338, 1.235]",1211,18,9,9098
False,False,81,False,"[73.691, 73.059, 73.682]","[0.754, 0.299, 1.41]",1211,20,10,9098
False,False,11,False,"[73.874, 73.334, None]","[0.937, 0.574, None]",1211,17,11,9098
False,False,63,False,"[73.326, 73.447, None]","[0.389, 0.687, None]",1211,18,12,9098
False,False,24,False,"[73.677, 73.521, None]","[0.74, 0.761, None]",1211,16,13,9098
False,False,21,False,"[73.581, 74.083, None]","[0.644, 1.323, None]",1211,16,14,9098
False,False,22,False,"[73.862, 74.477, None]","[0.925, 1.717, None]",1211,19,15,9098
False,False,77,False,"[73.977, None, None]","[1.04, None, None]",1211,10,16,9098
False,False,20,False,"[74.042, None, None]","[1.105, None, None]",1211,9,17,9098
False,False,23,False,"[74.063, None, None]","[1.126, None, None]",1211,8,18,9098
False,False,16,False,"[74.079, None, None]","[1.142, None, None]",1211,10,19,9098
False,False,2,False,"[74.699, None, None]","[1.762, None, None]",1211,6,20,9098
