dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[70.436, 70.162, 70.727]","[0.096, 0.141, 0.0]",1224,18,1,9304
False,False,16,False,"[70.472, 70.303, 71.021]","[0.132, 0.282, 0.294]",1224,18,2,9304
False,False,18,False,"[70.551, 70.375, 71.344]","[0.211, 0.354, 0.617]",1224,16,3,9304
False,False,14,False,"[70.557, 70.237, 71.387]","[0.217, 0.216, 0.66]",1224,18,4,9304
False,False,44,False,"[70.604, 70.266, 71.469]","[0.264, 0.245, 0.742]",1224,21,5,9304
False,False,63,False,"[70.34, 70.316, 71.59]","[0.0, 0.295, 0.863]",1224,21,6,9304
False,False,4,False,"[70.623, 70.021, 71.987]","[0.283, 0.0, 1.26]",1224,13,7,9304
False,False,55,False,"[70.624, 70.254, 71.989]","[0.284, 0.233, 1.262]",1224,20,8,9304
False,False,11,False,"[70.668, 70.219, 72.321]","[0.328, 0.198, 1.594]",1224,17,9,9304
True,False,81,False,"[70.519, 70.33, None]","[0.179, 0.309, None]",1224,15,10,9304
False,False,27,False,"[70.475, 70.547, None]","[0.135, 0.526, None]",1224,15,11,9304
False,False,31,False,"[70.763, 70.562, None]","[0.423, 0.541, None]",1224,15,12,9304
False,False,10,False,"[70.793, 70.567, None]","[0.453, 0.546, None]",1224,14,13,9304
False,False,20,False,"[70.602, 70.723, None]","[0.262, 0.702, None]",1224,15,14,9304
False,False,23,False,"[70.621, 70.84, None]","[0.281, 0.819, None]",1224,15,15,9304
False,False,22,False,"[70.837, None, None]","[0.497, None, None]",1224,9,16,9304
False,False,3,False,"[70.843, None, None]","[0.503, None, None]",1224,6,17,9304
False,False,77,False,"[70.955, None, None]","[0.615, None, None]",1224,9,18,9304
False,False,2,False,"[71.035, None, None]","[0.695, None, None]",1224,9,19,9304
False,False,24,False,"[71.275, None, None]","[0.935, None, None]",1224,9,20,9304
