iter	MAE
196	3.084688049
197	3.08329544
198	3.081030514
199	3.076499303
200	3.073599994
201	3.069434664
202	3.066705528
203	3.063132273
204	3.060750033
205	3.056769678
206	3.05380049
207	3.051803898
208	3.049731533
209	3.047925567
210	3.043008567
211	3.041221647
212	3.039115818
213	3.034213371
214	3.029599295
215	3.02302067
216	3.018962136
217	3.017459433
218	3.010685873
219	3.007015286
220	3.002331414
221	3.000397675
222	2.994760812
223	2.991908753
224	2.990278659
225	2.989133127
226	2.988083775
227	2.986488469
228	2.985868365
229	2.984161278
230	2.98091346
231	2.978415214
232	2.976998474
233	2.974808361
234	2.971301529
235	2.96608742
236	2.962850604
237	2.959799154
238	2.956401836
239	2.955632517
240	2.953071218
241	2.949511437
242	2.944142351
243	2.939074541
244	2.933885343
245	2.930266448
246	2.927319782
247	2.924171928
248	2.921947056
249	2.920134175
250	2.918179187
251	2.914410934
252	2.91274925
253	2.910985339
254	2.907318267
255	2.905055337
256	2.902996057
257	2.900117342
258	2.893359331
259	2.89026468
260	2.888784665
261	2.887613319
262	2.88299437
263	2.87967783
264	2.87699723
265	2.874079291
266	2.873215768
267	2.870636324
268	2.868856766
269	2.867596106
270	2.863975836
271	2.859724816
272	2.85730953
273	2.854089323
274	2.852620496
275	2.851984378
276	2.847481706
277	2.844121622
278	2.836389952
279	2.834969456
280	2.833120662
281	2.831520305
282	2.830372283
283	2.825632318
284	2.8236397
285	2.82072151
286	2.816322152
287	2.814731284
288	2.811072476
289	2.806468005
290	2.805255661
291	2.802632366
292	2.801338211
293	2.797269577
294	2.796099037
295	2.794831269
296	2.791291413
297	2.785466443
298	2.780251376
299	2.777273281
300	2.775190811
301	2.768482046
302	2.764883812
303	2.759277411
304	2.757178058
305	2.755550641
306	2.753022796
307	2.751581967
308	2.750170466
309	2.748099545
310	2.746752616
311	2.742873341
312	2.740215096
313	2.737396342
314	2.735175017
315	2.732641373
316	2.730686245
317	2.729021597
318	2.727263522
319	2.725599569
320	2.723994746
321	2.718625231
322	2.71707499
323	2.714630889
324	2.710541906
325	2.708381545
326	2.706517924
327	2.705432404
328	2.701099457
329	2.699863324
330	2.696170551
331	2.69261716
332	2.688834171
333	2.687709844
334	2.685895066
335	2.684488047
336	2.681289113
337	2.678475951
338	2.676928206
339	2.673652227
340	2.672834358
341	2.668564184
342	2.667901391
343	2.666597478
344	2.66468777
345	2.663983485
346	2.659585289
347	2.655286169
348	2.651526913
349	2.648930889
350	2.64617572
351	2.644594247
352	2.642712673
353	2.639469828
354	2.636940015
355	2.634343447
356	2.629994573
357	2.627875166
358	2.624789999
359	2.623040484
360	2.621234648
361	2.618392836
362	2.616872077
363	2.615088065
364	2.612227957
365	2.609955578
366	2.607585388
367	2.603614833
368	2.60188197
369	2.601441316
370	2.599912402
371	2.596557975
372	2.591399392
373	2.588146078
374	2.58566934
375	2.583889523
376	2.583072699
377	2.580926947
378	2.579923997
379	2.577381394
380	2.576109099
381	2.573802988
382	2.572545364
383	2.571593342
384	2.570334544
385	2.568731192
386	2.567521506
387	2.565758493
388	2.564416933
389	2.561386199
390	2.559665682
391	2.557805732
392	2.55633057
393	2.554521276
394	2.55239779
395	2.550756425
396	2.547838851
397	2.54595529
398	2.544592288
399	2.542853415
400	2.539506322
401	2.538703061
402	2.537467504
403	2.53682904
404	2.532282559
405	2.530363017
406	2.528702786
407	2.524353017
408	2.520217642
409	2.519100038
410	2.518086787
411	2.51504765
412	2.514204684
413	2.51241916
414	2.511454352
415	2.509776209
416	2.508727014
417	2.505877083
418	2.50454344
419	2.50327547
420	2.500793156
421	2.498444578
422	2.497983247
423	2.497245863
424	2.49592659
425	2.495098246
426	2.494370476
427	2.493505791
428	2.492047883
429	2.49117365
430	2.490685043
431	2.489028266
432	2.487274036
433	2.486878625
434	2.485378036
435	2.483656098
436	2.48193521
437	2.480767588
438	2.479803657
439	2.479278098
440	2.477517221
441	2.476532049
442	2.47463398
443	2.474335918
444	2.468064903
445	2.466868359
446	2.466044467
447	2.462768036
448	2.460642993
449	2.459552125
450	2.456726275
451	2.455574977
452	2.454028632
453	2.451958329
454	2.450598374
455	2.450201097
456	2.448588599
457	2.448090556
458	2.44690944
459	2.445526478
460	2.444491651
461	2.441927596
462	2.440576527
463	2.439494269
464	2.436863397
465	2.435644965
466	2.434242317
467	2.43349937
468	2.432269588
469	2.431270546
470	2.429266695
471	2.428580304
472	2.427377225
473	2.426259604
474	2.425043114
475	2.423820276
476	2.423002976
477	2.422036469
478	2.421273285
479	2.417973247
480	2.417391868
481	2.41534503
482	2.414401959
483	2.413449251
484	2.412182227
485	2.410383719
486	2.409514806
487	2.408235213
488	2.407154804
489	2.406025511
490	2.405470529
491	2.404654668
492	2.403680379
493	2.402812288
494	2.402204018
495	2.399602945
496	2.398897323
497	2.397176554
498	2.39544494
499	2.394389457
500	2.39374599
501	2.391272766
502	2.390962917
503	2.390552078
504	2.390082541
505	2.38923926
506	2.388741596
507	2.388181145
508	2.386438872
509	2.385257702
510	2.384545176
511	2.383599717
512	2.382430866
513	2.380983555
514	2.379950172
515	2.379615272
516	2.37747937
517	2.377242059
518	2.376058796
519	2.375152069
520	2.374037719
521	2.372395557
522	2.372176997
523	2.371890499
524	2.370728545
525	2.369672999
526	2.368246378
527	2.366554226
528	2.366161731
529	2.365207626
530	2.363628614
531	2.362184079
532	2.361228949
533	2.359249809
534	2.359008186
535	2.356965713
536	2.355150601
537	2.354414747
538	2.353808174
539	2.353192197
540	2.352699323
541	2.351997974
542	2.351048475
543	2.34995957
544	2.348986581
545	2.347438862
546	2.347165199
547	2.344985563
548	2.342896485
549	2.342009007
550	2.341493559
551	2.340738112
552	2.339706718
553	2.33861248
554	2.337762714
555	2.336779635
556	2.336107527
557	2.335239693
558	2.333701867
559	2.331919859
560	2.331132549
561	2.329298041
562	2.328283994
563	2.327625878
564	2.326338941
565	2.326055259
566	2.324892252
567	2.323989653
568	2.322130791
569	2.320715727
570	2.318912987
571	2.318590753
572	2.317387598
573	2.315370085
574	2.313973832
575	2.31324723
576	2.31224983
577	2.311601367
578	2.310687019
579	2.307494742
580	2.306251518
581	2.30508383
582	2.304311056
583	2.303390278
584	2.302614779
585	2.302149091
586	2.300570512
587	2.299636169
588	2.298493448
589	2.297279877
590	2.296631177
591	2.295648521
592	2.295024877
593	2.294617791
594	2.294181255
595	2.293920243
596	2.293153775
597	2.292846019
598	2.292033667
599	2.291651398
600	2.290245503
601	2.286890686
602	2.286361842
603	2.285076012
604	2.284233305
605	2.283634169
606	2.281661601
607	2.280405174
608	2.279962037
609	2.27909312
610	2.278449481
611	2.278157355
612	2.277779528
613	2.277461421
614	2.276898338
615	2.27602311
616	2.274931942
617	2.274735468
618	2.273698958
619	2.2726191
620	2.271526282
621	2.271241175
622	2.27108125
623	2.270030138
624	2.269546897
625	2.269409979
626	2.268626939
627	2.268167833
628	2.267633061
629	2.266854046
630	2.266383297
631	2.265773749
632	2.265124575
633	2.264314172
634	2.263978248
635	2.262624915
636	2.2623563
637	2.261638615
638	2.260943888
639	2.259176135
640	2.258634044
641	2.25815679
642	2.257803051
643	2.256892309
644	2.256181732
645	2.255478152
646	2.254253632
647	2.254029413
648	2.252785735
649	2.252082134
650	2.251782663
651	2.250851096
652	2.250352437
653	2.249099016
654	2.247900718
655	2.247348925
656	2.246510206
657	2.246367785
658	2.245607596
659	2.243708346
660	2.242759548
661	2.241937196
662	2.240655758
663	2.23924209
664	2.238414509
665	2.237808861
666	2.237671332
667	2.236531068
668	2.235775612
669	2.233689894
670	2.233246771
671	2.232602127
672	2.232187196
673	2.231682283
674	2.231272668
675	2.23116245
676	2.230663984
677	2.229592161
678	2.228073821
679	2.226752452
680	2.225884327
681	2.225091155
682	2.224058517
683	2.22343717
684	2.222542506
685	2.22119638
686	2.21932576
687	2.218803234
688	2.217491336
689	2.213023304
690	2.212712058
691	2.211964916
692	2.210420426
693	2.21012235
694	2.208174341
695	2.207817494
696	2.207140785
697	2.20664372
698	2.206149202
699	2.205177015
700	2.204561752
701	2.204254929
702	2.203919492
703	2.20313738
704	2.202980382
705	2.202287402
706	2.201057812
707	2.200857508
708	2.200483801
709	2.197644951
710	2.197040431
711	2.196353338
712	2.1959542
713	2.195260722
714	2.194448526
715	2.192918828
716	2.192697755
717	2.192023121
718	2.191465884
719	2.191117404
720	2.190358139
721	2.1899527
722	2.189601598
723	2.189128328
724	2.187824175
725	2.187509674
726	2.187120116
727	2.186767774
728	2.186506067
729	2.186058268
730	2.185351577
731	2.184934395
732	2.184067274
733	2.183637826
734	2.183054518
735	2.18285157
736	2.182440543
737	2.181826556
738	2.180438613
739	2.178711391
740	2.178261634
741	2.178070332
742	2.177714303
743	2.17688368
744	2.175604173
745	2.175064273
746	2.174780126
747	2.17442413
748	2.174151809
749	2.17382301
750	2.173096644
751	2.172729636
752	2.171810687
753	2.170377294
754	2.169667683
755	2.169059598
756	2.168639801
757	2.167384796
758	2.167146438
759	2.166888368
760	2.166429135
761	2.16579552
762	2.165298543
763	2.164594762
764	2.163999141
765	2.16365487
766	2.16301326
767	2.161747264
768	2.160970959
769	2.159898014
770	2.159431355
771	2.157997043
772	2.156566324
773	2.155933252
774	2.155721356
775	2.154632876
776	2.154455094
777	2.153898817
778	2.153485858
779	2.153095519
780	2.151870719
781	2.151508067
782	2.150813787
783	2.150305482
784	2.149895655
785	2.149765964
786	2.149039764
787	2.148646478
788	2.1483013
789	2.147411519
790	2.146834627
791	2.1456584
792	2.145025503
793	2.144215966
794	2.1438072
795	2.142860618
796	2.142240174
797	2.141792537
798	2.141528776
799	2.141273839
800	2.140444003
801	2.140092848
802	2.139879971
803	2.139158812
804	2.138416419
805	2.138242887
806	2.136490804
807	2.136006601
808	2.135352267
809	2.134746773
810	2.133766186
811	2.133649175
812	2.133206194
813	2.132776452
814	2.132434269
815	2.130637432
816	2.130029767
817	2.129546196
818	2.128611909
819	2.128147247
820	2.127942429
821	2.127368469
822	2.126621086
823	2.126286633
824	2.125383769
825	2.124957993
826	2.12407988
827	2.123831092
828	2.123397854
829	2.122936669
830	2.122196144
831	2.120692006
832	2.120482805
833	2.11955345
834	2.118558904
835	2.118317026
836	2.116852379
837	2.116438137
838	2.115591264
839	2.115059757
840	2.114781836
841	2.113650166
842	2.113254485
843	2.112655487
844	2.112463124
845	2.111999534
846	2.111810703
847	2.111595968
848	2.109805577
849	2.109071783
850	2.108365166
851	2.107479025
852	2.10676583
853	2.105390045
854	2.104869968
855	2.1043884
856	2.103234101
857	2.102113085
858	2.101435834
859	2.101108258
860	2.100938087
861	2.10023862
862	2.099710027
863	2.099043725
864	2.098679407
865	2.098192561
866	2.098035711
867	2.09686145
868	2.095535866
869	2.095232238
870	2.094182222
871	2.093402834
872	2.093190316
873	2.092779762
874	2.092379055
875	2.091888512
876	2.090349401
877	2.08943122
878	2.08875127
879	2.08854062
880	2.088130131
881	2.087919513
882	2.087517706
883	2.08695871
884	2.086457467
885	2.085426242
886	2.084861635
887	2.084391254
888	2.083838956
889	2.083042616
890	2.082730203
891	2.08221193
892	2.081650115
893	2.081514484
894	2.080957881
895	2.080595839
896	2.080448662
897	2.080245825
898	2.079015937
899	2.078850952
900	2.078114034
901	2.077157971
902	2.076621277
903	2.076153831
904	2.075724883
905	2.075249974
906	2.07491025
907	2.074305259
908	2.074017482
909	2.073446414
910	2.072950424
911	2.072567652
912	2.072311636
913	2.071621237
914	2.070937489
915	2.070811555
916	2.070106283
917	2.069664263
918	2.069063379
919	2.068598558
920	2.068117258
921	2.066696317
922	2.06537777
923	2.0650272
924	2.064766941
925	2.064398564
926	2.064096952
927	2.063736763
928	2.062724602
929	2.06124272
930	2.060333143
931	2.059943761
932	2.059042058
933	2.058734079
934	2.058196863
935	2.057941766
936	2.056999567
937	2.056632173
938	2.056374184
939	2.055386103
940	2.055172065
941	2.054928905
942	2.054730703
943	2.054300156
944	2.053705526
945	2.052701559
946	2.052482141
947	2.052398168
948	2.052305582
949	2.051771318
950	2.05142447
951	2.050924679
952	2.05062993
953	2.049613172
954	2.049150129
955	2.048937186
956	2.048570037
957	2.048281519
958	2.047955588
959	2.047819748
960	2.047770177
961	2.04689406
962	2.046511044
963	2.046126057
964	2.04496824
965	2.044624713
966	2.044450184
967	2.044104011
968	2.043889076
969	2.043580013
970	2.043454216
971	2.04306452
972	2.041596805
973	2.040962535
974	2.040721747
975	2.03992357
976	2.039673507
977	2.0394244
978	2.039088886
979	2.038737262
980	2.037976565
981	2.037736676
982	2.037527464
983	2.036576186
984	2.036191909
985	2.036033562
986	2.035597019
987	2.035105973
988	2.034831617
989	2.034212652
990	2.033826564
991	2.033680808
992	2.033390076
993	2.032143497
994	2.031732396
995	2.030903229
996	2.030653104
997	2.029841628
998	2.029316619
999	2.02871991
1000	2.028170926
1001	2.027975519
1002	2.027654845
1003	2.027269882
1004	2.026958022
1005	2.026839479
1006	2.026641535
1007	2.026297851
1008	2.0258747
1009	2.025747225
1010	2.025686014
1011	2.025490818
1012	2.024921064
1013	2.024684115
1014	2.024467374
1015	2.02416011
1016	2.022929849
1017	2.0217939
1018	2.021515625
1019	2.020967035
1020	2.020080929
1021	2.019892499
1022	2.019461682
1023	2.018975569
1024	2.018737212
1025	2.017972541
1026	2.017698213
1027	2.017197733
1028	2.016964928
1029	2.016527817
1030	2.015896906
1031	2.015391108
1032	2.015067989
1033	2.01441662
1034	2.013940327
1035	2.01367403
1036	2.013302134
1037	2.012950603
1038	2.012384995
1039	2.0121253
1040	2.011671974
1041	2.011476353
1042	2.01073607
1043	2.010593772
1044	2.009879121
1045	2.009563156
1046	2.009196471
1047	2.008909865
1048	2.008486446
1049	2.008058836
1050	2.007087026
1051	2.006901718
1052	2.006829323
1053	2.006080105
1054	2.005651069
1055	2.005055746
1056	2.004591193
1057	2.004366987
1058	2.004007048
1059	2.003580025
1060	2.003013322
1061	2.002353357
1062	2.002016369
1063	2.001913027
1064	2.001854898
1065	2.001680438
1066	2.00146395
1067	2.001143155
1068	2.000982452
1069	2.000384549
1070	2.000026805
1071	1.99971766
1072	1.999491818
1073	1.999176681
1074	1.99895692
1075	1.998573878
1076	1.998299491
1077	1.998028972
1078	1.997830714
1079	1.996883284
1080	1.996542942
1081	1.995951523
1082	1.995770628
1083	1.995384261
1084	1.995054162
1085	1.993318599
1086	1.993102886
1087	1.992758359
1088	1.992383249
1089	1.991907522
1090	1.991545501
1091	1.991190942
1092	1.990858347
1093	1.990315631
1094	1.990118212
1095	1.989965869
1096	1.989209661
1097	1.988712695
1098	1.988438806
1099	1.988083235
1100	1.987600829
1101	1.987359799
1102	1.986752778
1103	1.98635808
1104	1.986007729
1105	1.985080057
1106	1.984570134
1107	1.983863434
1108	1.983526291
1109	1.983382784
1110	1.983104232
1111	1.982887748
1112	1.982607511
1113	1.98231342
1114	1.982165893
1115	1.981610853
1116	1.981283838
1117	1.981019914
1118	1.980529853
1119	1.980314822
1120	1.979921376
1121	1.979841447
1122	1.979689407
1123	1.979337605
