Event,QualiSegment,SessionMedianLap,CircuitName,Country,TrackType,LapSpeedClass,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,AirTemp,TrackTemp,WindSpeed,Altitude_m,DRSZones
Canadian Grand Prix,Q2,86.858,Gilles Villeneuve,Canada,Permanent,Medium,232.5,270.0,280.0,300.0,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,16.7,18.8,2.05,22.0,2.0
Canadian Grand Prix,Q3,85.6135,Gilles Villeneuve,Canada,Permanent,Medium,232.5,270.0,280.0,300.0,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,16.7,18.8,2.05,22.0,2.0
Chinese Grand Prix,Q1,95.6595,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Chinese Grand Prix,Q2,94.886,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Chinese Grand Prix,Q3,94.368,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Dutch Grand Prix,Q1,82.8275,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Dutch Grand Prix,Q2,80.1905,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Dutch Grand Prix,Q3,79.124,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Eifel Grand Prix,Q1,88.52250000000001,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Eifel Grand Prix,Q2,87.816,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Eifel Grand Prix,Q3,86.7595,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Emilia Romagna Grand Prix,Q1,80.732,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
Emilia Romagna Grand Prix,Q2,76.562,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
Emilia Romagna Grand Prix,Q3,76.01400000000001,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
