Driver_Track,DriverTrackAvgDelta,DriverTrackStdDelta
ALB_Albert Park,7.396794117647055,12.016595897781878
ALB_Bahrain International,-1.5421999999999998,0.39450183776504905
ALB_Baku City,5.467285714285708,13.4277667628722
ALB_Barcelona-Catalunya,0.14000000000000057,0.2658087658449199
ALB_COTA,6.388400000000002,17.697713292965275
ALB_Gilles Villeneuve,-2.508140000000002,9.92969147254838
ALB_Hermanos Rodriguez,3.595642857142859,11.185564905146846
ALB_Hockenheimring,6.139299999999997,14.457639233291168
ALB_Imola,9.049285714285704,16.74203575548969
ALB_Interlagos,9.6201875,10.80924454479436
ALB_Istanbul Park,5.874666666666662,6.245669391787814
ALB_Las Vegas,13.366000000000007,15.751598245026672
ALB_Marina Bay,-0.8818000000000069,0.6287159135889576
ALB_Monaco,7.651611111111112,12.320294157614857
ALB_Monza,4.16354166666667,9.684573084254948
ALB_Mugello,-0.07974999999999355,0.5242209298886635
ALB_Portimao,6.3377941176470625,12.77863806203886
ALB_Red Bull Ring,2.970064516129033,7.535555102027914
ALB_Silverstone,4.021589743589749,13.107632181527215
ALB_Sochi Autodrom,-12.318000000000003,0.5261132957833311
ALB_Spa-Francorchamps,-10.386590909090915,1.9047562812362877
ALB_Suzuka,-1.3386000000000053,0.6235273049353974
ALB_Yas Marina,16.24373076923077,11.830014286789385
ALB_Zandvoort,4.347363636363642,12.079314591661607
ALO_Albert Park,7.188772727272725,13.542418786152842
ALO_Bahrain International,0.5738333333333322,0.8119424240671245
ALO_Baku City,6.65686666666666,12.255114655644332
ALO_Barcelona-Catalunya,-1.1859545454545433,2.360247248219404
ALO_COTA,0.016454545454549094,1.2431282607708962
ALO_Gilles Villeneuve,3.2082560975609744,10.9234807222343
ALO_Hermanos Rodriguez,1.678000000000003,0.5429631663381982
ALO_Hungaroring,6.13935185185185,14.31034236193074
ALO_Imola,13.080181818181808,8.065726573820637
ALO_Interlagos,1.6848750000000012,12.09645946801337
ALO_Istanbul Park,-22.85525,7.725472543652411
ALO_Jeddah,8.16004,12.373565787193279
ALO_Las Vegas,7.653642857142864,10.228074911785646
ALO_Losail,4.358421052631567,12.847502158075491
ALO_Marina Bay,12.017479999999994,17.739235717564984
ALO_Miami,11.146749999999995,23.22790752367874
ALO_Monaco,9.885857142857143,15.968017739486998
ALO_Monza,4.755200000000005,9.285444042514426
ALO_Paul Ricard,0.6167000000000016,0.7512508162317627
ALO_Red Bull Ring,-0.044653846153845114,13.654724811411786
ALO_Shanghai International,0.24960000000000376,0.3756851075036135
ALO_Silverstone,10.600638888888895,14.560972614988478
ALO_Sochi Autodrom,8.355076923076918,11.519555984365157
ALO_Spa-Francorchamps,1.0321956521739097,9.075195306862957
ALO_Suzuka,0.016222222222215994,0.8162266501679787
ALO_Yas Marina,-0.8751666666666674,0.5874408803265119
ALO_Zandvoort,1.108807692307697,10.19927771567862
BOT_Albert Park,9.80994444444444,17.806120760226744
BOT_Bahrain International,3.625033333333333,9.28996627340054
BOT_Baku City,7.438437499999994,10.944051888088188
BOT_Barcelona-Catalunya,2.9501956521739143,12.237742689337555
BOT_COTA,3.8284736842105307,12.313566390902267
BOT_Gilles Villeneuve,-5.9135000000000035,14.519029788522372
BOT_Hermanos Rodriguez,6.486483870967745,13.16119202522063
BOT_Hockenheimring,6.109299999999999,13.770109580174008
BOT_Hungaroring,5.06801282051282,13.807992574614921
BOT_Imola,5.301823529411754,12.207169692619653
BOT_Interlagos,4.899333333333335,19.000653604856986
BOT_Istanbul Park,-8.555240740740745,17.63914273512745
BOT_Jeddah,13.98974193548387,17.336940725836918
BOT_Las Vegas,13.144363636363643,18.287915918839563
BOT_Losail,3.3233999999999897,14.37643141096864
BOT_Marina Bay,-1.1268333333333374,0.9844327131229813
BOT_Miami,12.332888888888883,18.338859082765108
BOT_Monaco,6.270228571428571,9.503929859260742
BOT_Monza,2.608055555555559,10.266957774234221
BOT_Mugello,-1.0083333333333258,0.2871137985770291
BOT_Paul Ricard,3.006214285714285,10.95499854424434
BOT_Portimao,2.19477777777778,8.081053337031486
BOT_Red Bull Ring,2.198280303030305,11.702443750420677
BOT_Shanghai International,2.2597272727272792,10.265991185374252
BOT_Silverstone,8.360764705882358,16.773540414102484
BOT_Sochi Autodrom,1.6723999999999968,16.06903217371849
BOT_Spa-Francorchamps,-1.9040789473684223,11.25677687891851
BOT_Suzuka,9.168499999999995,17.333227341022084
BOT_Yas Marina,11.07687037037037,17.454733270659215
BOT_Zandvoort,-0.6071428571428531,15.331961838249008
COL_Baku City,4.371499999999994,11.65152848342225
GAS_Albert Park,8.464888888888886,13.829899430279093
GAS_Bahrain International,6.478177419354838,11.698291849345917
GAS_Baku City,10.878904761904755,16.374201574137167
GAS_Barcelona-Catalunya,-0.6441923076923086,7.22605388172123
GAS_COTA,1.7243636363636405,9.586411968661709
GAS_Gilles Villeneuve,-11.19607142857143,7.178611491951697
GAS_Hermanos Rodriguez,3.6747826086956557,9.666335589214775
GAS_Hockenheimring,-0.2634999999999934,0.42585013013187295
GAS_Hungaroring,5.979299999999998,14.084420211522263
GAS_Imola,6.979187499999989,14.281100864283305
GAS_Interlagos,0.49106250000000173,12.818155657601448
GAS_Istanbul Park,-20.913416666666674,11.061210516183724
GAS_Jeddah,15.301791666666665,22.287003980637934
GAS_Las Vegas,6.795846153846158,10.71492760476638
GAS_Losail,7.5202941176470475,14.947440896206556
GAS_Marina Bay,23.29728571428571,12.179161316512165
GAS_Miami,6.393045454545452,13.729589729510954
GAS_Monaco,8.414107692307693,12.248732067191533
