year,race,driver,real_time_seconds
2025,Emilia Romagna Grand Prix,BOR,76.26
2025,Emilia Romagna Grand Prix,COL,76.256
2025,Emilia Romagna Grand Prix,GAS,75.505
2025,Emilia Romagna Grand Prix,HAD,75.51
2025,Emilia Romagna Grand Prix,HAM,75.765
2025,Emilia Romagna Grand Prix,HUL,76.518
2025,Emilia Romagna Grand Prix,LAW,76.379
2025,Emilia Romagna Grand Prix,LEC,75.604
2025,Emilia Romagna Grand Prix,NOR,74.962
2025,Emilia Romagna Grand Prix,OCO,76.613
2025,Emilia Romagna Grand Prix,PIA,74.67
2025,Emilia Romagna Grand Prix,RUS,74.807
2025,Emilia Romagna Grand Prix,SAI,75.198
2025,Emilia Romagna Grand Prix,STR,75.497
2025,Emilia Romagna Grand Prix,VER,74.704
2025,Monaco Grand Prix,ALB,70.732
2025,Monaco Grand Prix,ALO,70.924
2025,Monaco Grand Prix,ANT,71.88
2025,Monaco Grand Prix,BEA,71.979
2025,Monaco Grand Prix,BOR,71.902
2025,Monaco Grand Prix,COL,72.597
2025,Monaco Grand Prix,GAS,71.994
2025,Monaco Grand Prix,HAD,70.923
2025,Monaco Grand Prix,HAM,70.382
2025,Monaco Grand Prix,HUL,71.596
2025,Monaco Grand Prix,LAW,71.129
2025,Monaco Grand Prix,LEC,70.063
2025,Monaco Grand Prix,NOR,69.954
2025,Monaco Grand Prix,OCO,70.942
2025,Monaco Grand Prix,PIA,70.129
2025,Monaco Grand Prix,RUS,71.507
2025,Monaco Grand Prix,SAI,71.362
2025,Monaco Grand Prix,STR,72.563
2025,Monaco Grand Prix,TSU,71.415
2025,Monaco Grand Prix,VER,70.669
2025,Spanish Grand Prix,ALB,72.641
2025,Spanish Grand Prix,ALO,72.284
2025,Spanish Grand Prix,ANT,72.111
2025,Spanish Grand Prix,BEA,73.074
2025,Spanish Grand Prix,BOR,72.756
2025,Spanish Grand Prix,COL,73.334
2025,Spanish Grand Prix,GAS,72.199
2025,Spanish Grand Prix,HAD,72.252
2025,Spanish Grand Prix,HAM,72.045
2025,Spanish Grand Prix,HUL,73.19
2025,Spanish Grand Prix,LAW,72.763
2025,Spanish Grand Prix,LEC,72.131
2025,Spanish Grand Prix,NOR,71.755
2025,Spanish Grand Prix,OCO,73.201
2025,Spanish Grand Prix,PIA,71.546
2025,Spanish Grand Prix,RUS,71.848
2025,Spanish Grand Prix,SAI,73.203
2025,Spanish Grand Prix,STR,73.038
2025,Spanish Grand Prix,TSU,73.385
2025,Spanish Grand Prix,VER,71.848
2025,Canadian Grand Prix,ALB,71.892
2025,Canadian Grand Prix,ALO,71.586
2025,Canadian Grand Prix,ANT,71.391
2025,Canadian Grand Prix,BEA,72.306
2025,Canadian Grand Prix,BOR,72.385
2025,Canadian Grand Prix,COL,72.142
2025,Canadian Grand Prix,GAS,72.667
2025,Canadian Grand Prix,HAD,71.867
2025,Canadian Grand Prix,HAM,71.526
2025,Canadian Grand Prix,HUL,72.183
2025,Canadian Grand Prix,LAW,72.525
2025,Canadian Grand Prix,LEC,71.626
2025,Canadian Grand Prix,NOR,71.599
2025,Canadian Grand Prix,OCO,72.378
2025,Canadian Grand Prix,PIA,71.12
2025,Canadian Grand Prix,RUS,70.899
2025,Canadian Grand Prix,SAI,72.398
2025,Canadian Grand Prix,STR,72.517
2025,Canadian Grand Prix,TSU,72.102
2025,Canadian Grand Prix,VER,71.059
2025,Austrian Grand Prix,ALB,65.143
2025,Austrian Grand Prix,ALO,65.128
2025,Austrian Grand Prix,ANT,65.052
2025,Austrian Grand Prix,BEA,65.218
2025,Austrian Grand Prix,BOR,64.846
2025,Austrian Grand Prix,COL,65.278
2025,Austrian Grand Prix,GAS,64.846
2025,Austrian Grand Prix,HAD,65.063
2025,Austrian Grand Prix,HAM,64.582
2025,Austrian Grand Prix,HUL,65.606
2025,Austrian Grand Prix,LAW,64.926
2025,Austrian Grand Prix,LEC,64.492
2025,Austrian Grand Prix,NOR,63.971
2025,Austrian Grand Prix,OCO,65.364
2025,Austrian Grand Prix,PIA,64.554
2025,Austrian Grand Prix,RUS,64.763
2025,Austrian Grand Prix,SAI,65.582
2025,Austrian Grand Prix,STR,65.329
2025,Austrian Grand Prix,TSU,65.369
2025,Austrian Grand Prix,VER,64.836
2025,British Grand Prix,ALB,85.889
2025,British Grand Prix,ALO,85.593
2025,British Grand Prix,ANT,85.374
2025,British Grand Prix,BEA,85.471
2025,British Grand Prix,BOR,86.446
2025,British Grand Prix,COL,87.06
2025,British Grand Prix,GAS,85.711
2025,British Grand Prix,HAD,85.864
2025,British Grand Prix,HAM,85.084
2025,British Grand Prix,HUL,86.574
2025,British Grand Prix,LAW,86.44
2025,British Grand Prix,LEC,85.121
2025,British Grand Prix,NOR,85.01
2025,British Grand Prix,OCO,85.95
2025,British Grand Prix,PIA,84.995
2025,British Grand Prix,RUS,85.029
2025,British Grand Prix,SAI,85.746
2025,British Grand Prix,STR,86.504
2025,British Grand Prix,TSU,85.826
2025,British Grand Prix,VER,84.892
2025,Belgian Grand Prix,ALB,101.201
2025,Belgian Grand Prix,ALO,102.385
2025,Belgian Grand Prix,ANT,102.139
2025,Belgian Grand Prix,BEA,101.617
2025,Belgian Grand Prix,BOR,101.336
2025,Belgian Grand Prix,COL,102.022
2025,Belgian Grand Prix,GAS,101.633
2025,Belgian Grand Prix,HAD,101.281
2025,Belgian Grand Prix,HAM,101.664
2025,Belgian Grand Prix,HUL,101.707
2025,Belgian Grand Prix,LAW,101.297
2025,Belgian Grand Prix,LEC,100.9
2025,Belgian Grand Prix,NOR,100.562
2025,Belgian Grand Prix,OCO,101.525
2025,Belgian Grand Prix,PIA,100.626
2025,Belgian Grand Prix,RUS,101.254
2025,Belgian Grand Prix,SAI,101.691
2025,Belgian Grand Prix,STR,102.502
2025,Belgian Grand Prix,TSU,101.245
2025,Belgian Grand Prix,VER,100.903
2025,Hungarian Grand Prix,ALB,76.223
2025,Hungarian Grand Prix,ALO,75.281
2025,Hungarian Grand Prix,ANT,75.693
2025,Hungarian Grand Prix,BEA,75.694
2025,Hungarian Grand Prix,BOR,75.586
2025,Hungarian Grand Prix,COL,75.875
2025,Hungarian Grand Prix,GAS,75.966
2025,Hungarian Grand Prix,HAD,75.469
2025,Hungarian Grand Prix,HAM,75.702
2025,Hungarian Grand Prix,HUL,76.081
2025,Hungarian Grand Prix,LAW,75.63
2025,Hungarian Grand Prix,LEC,75.372
2025,Hungarian Grand Prix,NOR,74.89
2025,Hungarian Grand Prix,OCO,76.023
2025,Hungarian Grand Prix,PIA,74.941
2025,Hungarian Grand Prix,RUS,75.201
2025,Hungarian Grand Prix,SAI,75.652
2025,Hungarian Grand Prix,STR,75.129
2025,Hungarian Grand Prix,TSU,75.899
2025,Hungarian Grand Prix,VER,75.547
2025,Dutch Grand Prix,ALB,69.652
2025,Dutch Grand Prix,ALO,69.366
2025,Dutch Grand Prix,ANT,69.493
2025,Dutch Grand Prix,BEA,70.262
2025,Dutch Grand Prix,BOR,69.622
2025,Dutch Grand Prix,COL,70.104
2025,Dutch Grand Prix,GAS,69.637
2025,Dutch Grand Prix,HAD,69.208
2025,Dutch Grand Prix,HAM,69.261
2025,Dutch Grand Prix,HUL,70.195
2025,Dutch Grand Prix,LAW,69.383
2025,Dutch Grand Prix,LEC,69.304
2025,Dutch Grand Prix,NOR,68.674
2025,Dutch Grand Prix,OCO,70.197
2025,Dutch Grand Prix,PIA,68.662
2025,Dutch Grand Prix,RUS,69.255
2025,Dutch Grand Prix,SAI,69.472
2025,Dutch Grand Prix,STR,92.046
2025,Dutch Grand Prix,TSU,69.622
2025,Dutch Grand Prix,VER,68.925
2025,Italian Grand Prix,ALB,79.583
2025,Italian Grand Prix,ALO,79.362
2025,Italian Grand Prix,ANT,79.2
2025,Italian Grand Prix,BEA,79.446
