dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,4,False,"[81.356, 81.231, 81.012]","[0.0, 0.0, 0.0]",1251,16,1,9650
False,False,63,False,"[82.021, 81.488, 81.075]","[0.665, 0.257, 0.063]",1251,16,2,9650
False,False,81,False,"[82.218, 81.548, 81.171]","[0.862, 0.317, 0.159]",1251,16,3,9650
False,False,55,False,"[81.838, 81.809, 81.281]","[0.482, 0.578, 0.269]",1251,19,4,9650
False,False,16,False,"[82.156, 81.818, 81.308]","[0.8, 0.587, 0.296]",1251,18,5,9650
False,False,1,False,"[82.033, 81.784, 81.315]","[0.677, 0.553, 0.303]",1251,21,6,9650
False,False,44,False,"[82.151, 81.734, 81.474]","[0.795, 0.503, 0.462]",1251,19,7,9650
False,False,10,False,"[82.586, 82.352, 81.978]","[1.23, 1.121, 0.966]",1251,19,8,9650
False,False,27,False,"[82.569, 82.318, 82.088]","[1.213, 1.087, 1.076]",1251,15,9,9650
False,False,30,False,"[82.705, 82.393, 82.577]","[1.349, 1.162, 1.565]",1251,20,10,9650
False,False,14,False,"[82.499, 82.433, None]","[1.143, 1.202, None]",1251,12,11,9650
False,False,23,False,"[82.705, 82.526, None]","[1.349, 1.295, None]",1251,14,12,9650
False,False,77,False,"[82.506, 82.538, None]","[1.15, 1.307, None]",1251,13,13,9650
False,False,18,False,"[82.522, 82.599, None]","[1.166, 1.368, None]",1251,14,14,9650
False,False,20,False,"[82.56, 82.738, None]","[1.204, 1.507, None]",1251,14,15,9650
False,False,11,False,"[82.718, None, None]","[1.362, None, None]",1251,7,16,9650
False,False,22,False,"[82.722, None, None]","[1.366, None, None]",1251,7,17,9650
False,False,31,False,"[82.906, None, None]","[1.55, None, None]",1251,7,18,9650
False,False,24,False,"[82.948, None, None]","[1.592, None, None]",1251,8,19,9650
False,False,43,False,"[83.423, None, None]","[2.067, None, None]",1251,8,20,9650
