dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,4,False,"[93.616, 92.851, 92.33]","[0.57, 0.267, 0.0]",1247,16,1,9608
False,False,1,False,"[93.046, 92.584, 92.361]","[0.0, 0.0, 0.031]",1247,17,2,9608
False,False,55,False,"[93.556, 92.836, 92.652]","[0.51, 0.252, 0.322]",1247,19,3,9608
False,False,16,False,"[93.241, 92.962, 92.74]","[0.195, 0.378, 0.41]",1247,20,4,9608
False,False,81,False,"[93.864, 93.057, 92.95]","[0.818, 0.473, 0.62]",1247,19,5,9608
False,False,63,False,"[93.536, 93.142, 92.974]","[0.49, 0.558, 0.644]",1247,15,6,9608
False,False,10,False,"[93.55, 93.162, 93.018]","[0.504, 0.578, 0.688]",1247,20,7,9608
False,False,14,False,"[93.973, 93.429, 93.309]","[0.927, 0.845, 0.979]",1247,18,8,9608
False,False,20,False,"[93.564, 93.474, 93.481]","[0.518, 0.89, 1.151]",1247,17,9,9608
True,False,11,False,"[93.611, 93.02, None]","[0.565, 0.436, None]",1247,17,10,9608
False,False,22,False,"[93.795, 93.506, None]","[0.749, 0.922, None]",1247,14,11,9608
False,False,27,False,"[93.601, 93.544, None]","[0.555, 0.96, None]",1247,12,12,9608
False,False,31,False,"[93.986, 93.597, None]","[0.94, 1.013, None]",1247,15,13,9608
False,False,18,False,"[94.033, 93.759, None]","[0.987, 1.175, None]",1247,14,14,9608
False,True,30,False,"[93.339, None, None]","[0.293, None, None]",1247,11,15,9608
False,False,23,False,"[94.051, None, None]","[1.005, None, None]",1247,8,16,9608
False,False,43,False,"[94.062, None, None]","[1.016, None, None]",1247,6,17,9608
False,False,77,False,"[94.152, None, None]","[1.106, None, None]",1247,9,18,9608
False,False,44,False,"[94.154, None, None]","[1.108, None, None]",1247,6,19,9608
False,False,24,False,"[94.228, None, None]","[1.182, None, None]",1247,9,20,9608
