dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[87.689, 87.566, 87.241]","[0.0, 0.033, 0.0]",1234,18,1,9498
False,False,16,False,"[88.081, 87.533, 87.382]","[0.392, 0.0, 0.141]",1234,21,2,9498
False,False,55,False,"[87.937, 87.941, 87.455]","[0.248, 0.408, 0.214]",1234,21,3,9498
False,False,11,False,"[87.772, 87.839, 87.46]","[0.083, 0.306, 0.219]",1234,18,4,9498
False,False,4,False,"[87.913, 87.871, 87.594]","[0.224, 0.338, 0.353]",1234,21,5,9498
False,False,81,False,"[88.032, 87.721, 87.675]","[0.343, 0.188, 0.434]",1234,19,6,9498
False,False,63,False,"[88.159, 88.095, 88.067]","[0.47, 0.562, 0.826]",1234,21,7,9498
False,False,44,False,"[88.167, 87.697, 88.107]","[0.478, 0.164, 0.866]",1234,21,8,9498
False,False,27,False,"[88.383, 88.2, 88.146]","[0.694, 0.667, 0.905]",1234,21,9,9498
False,False,22,False,"[88.324, 88.167, 88.192]","[0.635, 0.634, 0.951]",1234,21,10,9498
False,False,18,False,"[88.177, 88.222, None]","[0.488, 0.689, None]",1234,15,11,9498
False,False,10,False,"[87.976, 88.324, None]","[0.287, 0.791, None]",1234,15,12,9498
False,False,31,False,"[88.209, 88.371, None]","[0.52, 0.838, None]",1234,15,13,9498
False,False,23,False,"[88.343, 88.413, None]","[0.654, 0.88, None]",1234,15,14,9498
False,False,14,False,"[88.453, 88.427, None]","[0.764, 0.894, None]",1234,15,15,9498
False,False,77,False,"[88.463, None, None]","[0.774, None, None]",1234,6,16,9498
False,False,2,False,"[88.487, None, None]","[0.798, None, None]",1234,8,17,9498
False,False,3,False,"[88.617, None, None]","[0.928, None, None]",1234,9,18,9498
False,False,20,False,"[88.619, None, None]","[0.93, None, None]",1234,9,19,9498
False,False,24,False,"[88.824, None, None]","[1.135, None, None]",1234,9,20,9498
