dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[88.866, 88.74, 88.197]","[0.0, 0.0, 0.0]",1232,12,1,9492
False,False,11,False,"[89.303, 88.752, 88.263]","[0.437, 0.012, 0.066]",1232,12,2,9492
False,False,4,False,"[89.536, 88.94, 88.489]","[0.67, 0.2, 0.292]",1232,13,3,9492
False,False,55,False,"[89.513, 89.099, 88.682]","[0.647, 0.359, 0.485]",1232,12,4,9492
False,False,14,False,"[89.254, 89.082, 88.686]","[0.388, 0.342, 0.489]",1232,12,5,9492
False,False,81,False,"[89.425, 89.148, 88.76]","[0.559, 0.408, 0.563]",1232,12,6,9492
False,False,44,False,"[89.661, 88.887, 88.766]","[0.795, 0.147, 0.569]",1232,15,7,9492
False,False,16,False,"[89.338, 89.196, 88.786]","[0.472, 0.456, 0.589]",1232,12,8,9492
False,False,63,False,"[89.799, 89.14, 89.008]","[0.933, 0.4, 0.811]",1232,15,9,9492
False,False,22,False,"[89.775, 89.417, 89.413]","[0.909, 0.677, 1.216]",1232,18,10,9492
False,False,3,False,"[89.727, 89.472, None]","[0.861, 0.732, None]",1232,12,11,9492
False,False,27,False,"[89.821, 89.494, None]","[0.955, 0.754, None]",1232,12,12,9492
False,False,77,False,"[89.602, 89.593, None]","[0.736, 0.853, None]",1232,12,13,9492
False,False,23,False,"[89.963, 89.714, None]","[1.097, 0.974, None]",1232,9,14,9492
False,False,31,False,"[89.811, 89.816, None]","[0.945, 1.076, None]",1232,12,15,9492
False,False,18,False,"[90.024, None, None]","[1.158, None, None]",1232,6,16,9492
False,False,10,False,"[90.119, None, None]","[1.253, None, None]",1232,6,17,9492
False,False,20,False,"[90.131, None, None]","[1.265, None, None]",1232,9,18,9492
False,False,2,False,"[90.139, None, None]","[1.273, None, None]",1232,6,19,9492
False,False,24,False,"[90.143, None, None]","[1.277, None, None]",1232,6,20,9492
