dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[114.938, 113.837, 113.159]","[0.103, 0.0, 0.0]",1242,21,1,9570
False,False,16,False,"[115.349, 114.193, 113.754]","[0.514, 0.356, 0.595]",1242,22,2,9570
False,False,11,False,"[115.139, 114.47, 113.765]","[0.304, 0.633, 0.606]",1242,21,3,9570
False,False,44,False,"[115.692, 114.037, 113.835]","[0.857, 0.2, 0.676]",1242,22,4,9570
False,False,4,False,"[115.582, 114.358, 113.981]","[0.747, 0.521, 0.822]",1242,24,5,9570
False,False,81,False,"[114.835, 114.136, 114.027]","[0.0, 0.299, 0.868]",1242,23,6,9570
False,False,63,False,"[115.353, 114.095, 114.184]","[0.518, 0.258, 1.025]",1242,22,7,9570
False,False,55,False,"[115.169, 114.112, 114.477]","[0.334, 0.275, 1.318]",1242,23,8,9570
False,False,14,False,"[115.489, 114.258, 114.765]","[0.654, 0.421, 1.606]",1242,23,9,9570
False,False,31,False,"[115.417, 114.46, 114.81]","[0.582, 0.623, 1.651]",1242,23,10,9570
False,False,23,False,"[115.722, 114.473, None]","[0.887, 0.636, None]",1242,16,11,9570
False,False,10,False,"[114.911, 114.635, None]","[0.076, 0.798, None]",1242,17,12,9570
False,False,3,False,"[115.451, 114.682, None]","[0.616, 0.845, None]",1242,14,13,9570
False,False,77,False,"[115.531, 114.764, None]","[0.696, 0.927, None]",1242,17,14,9570
False,False,18,False,"[116.072, 115.716, None]","[1.237, 1.879, None]",1242,17,15,9570
False,False,27,False,"[116.308, None, None]","[1.473, None, None]",1242,9,16,9570
False,False,20,False,"[116.5, None, None]","[1.665, None, None]",1242,9,17,9570
False,False,22,False,"[116.593, None, None]","[1.758, None, None]",1242,8,18,9570
False,False,2,False,"[117.23, None, None]","[2.395, None, None]",1242,8,19,9570
False,False,24,False,"[117.775, None, None]","[2.94, None, None]",1242,9,20,9570
