dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[88.194, 88.001, 87.641]","[0.255, 0.404, 0.0]",1234,12,1,9502
False,False,16,False,"[88.537, 87.977, 87.749]","[0.598, 0.38, 0.108]",1234,17,2,9502
False,False,11,False,"[88.681, 87.865, 87.876]","[0.742, 0.268, 0.235]",1234,11,3,9502
False,False,3,False,"[88.7, 88.122, 88.044]","[0.761, 0.525, 0.403]",1234,14,4,9502
False,False,55,False,"[88.435, 88.262, 88.103]","[0.496, 0.665, 0.462]",1234,16,5,9502
False,False,81,False,"[88.056, 88.163, 88.161]","[0.117, 0.566, 0.52]",1234,16,6,9502
False,False,18,False,"[88.807, 88.323, 88.375]","[0.868, 0.726, 0.734]",1234,15,7,9502
False,False,14,False,"[88.192, 88.189, 88.419]","[0.253, 0.592, 0.778]",1234,14,8,9502
False,False,4,False,"[87.939, 87.597, 88.472]","[0.0, 0.0, 0.831]",1234,12,9,9502
False,False,27,False,"[89.04, 88.33, 88.476]","[1.101, 0.733, 0.835]",1234,15,10,9502
False,False,63,False,"[88.387, 88.343, None]","[0.448, 0.746, None]",1234,12,11,9502
False,False,44,False,"[88.736, 88.371, None]","[0.797, 0.774, None]",1234,12,12,9502
False,False,31,False,"[88.873, 88.379, None]","[0.934, 0.782, None]",1234,12,13,9502
False,False,20,False,"[88.377, 88.614, None]","[0.438, 1.017, None]",1234,12,14,9502
True,False,22,False,"[88.687, None, None]","[0.748, None, None]",1234,9,15,9502
False,False,10,False,"[89.185, None, None]","[1.246, None, None]",1234,6,16,9502
False,False,24,False,"[89.267, None, None]","[1.328, None, None]",1234,6,17,9502
False,False,77,False,"[89.36, None, None]","[1.421, None, None]",1234,7,18,9502
False,False,2,False,"[89.551, None, None]","[1.612, None, None]",1234,6,19,9502
False,False,23,False,"[89.858, None, None]","[1.919, None, None]",1234,6,20,9502
