dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[75.762, 75.176, 74.746]","[0.0, 0.0, 0.0]",1235,18,1,9511
False,False,81,False,"[75.94, 75.407, 74.82]","[0.178, 0.231, 0.074]",1235,15,2,9511
False,False,4,False,"[75.915, 75.371, 74.837]","[0.153, 0.195, 0.091]",1235,19,3,9511
False,False,16,False,"[75.823, 75.328, 74.97]","[0.061, 0.152, 0.224]",1235,21,4,9511
False,False,55,False,"[76.015, 75.512, 75.233]","[0.253, 0.336, 0.487]",1235,20,5,9511
False,False,63,False,"[76.107, 75.671, 75.234]","[0.345, 0.495, 0.488]",1235,18,6,9511
False,False,22,False,"[75.894, 75.358, 75.465]","[0.132, 0.182, 0.719]",1235,15,7,9511
False,False,44,False,"[76.604, 75.677, 75.504]","[0.842, 0.501, 0.758]",1235,20,8,9511
False,False,3,False,"[76.06, 75.691, 75.674]","[0.298, 0.515, 0.928]",1235,15,9,9511
False,False,27,False,"[75.841, 75.569, 75.98]","[0.079, 0.393, 1.234]",1235,21,10,9511
False,False,11,False,"[76.404, 75.706, None]","[0.642, 0.53, None]",1235,10,11,9511
False,False,31,False,"[76.361, 75.906, None]","[0.599, 0.73, None]",1235,15,12,9511
False,False,18,False,"[76.458, 75.992, None]","[0.696, 0.816, None]",1235,15,13,9511
False,False,23,False,"[76.524, 76.2, None]","[0.762, 1.024, None]",1235,12,14,9511
False,False,10,False,"[76.015, 76.381, None]","[0.253, 1.205, None]",1235,14,15,9511
False,False,77,False,"[76.626, None, None]","[0.864, None, None]",1235,6,16,9511
False,False,24,False,"[76.834, None, None]","[1.072, None, None]",1235,9,17,9511
False,False,20,False,"[76.854, None, None]","[1.092, None, None]",1235,8,18,9511
False,False,14,False,"[76.917, None, None]","[1.155, None, None]",1235,7,19,9511
True,False,2,False,"[None, None, None]","[None, None, None]",1235,8,,9511
