dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[94.742, 93.794, 93.66]","[0.0, 0.0, 0.0]",1233,18,1,9664
False,False,11,False,"[95.457, 94.026, 93.982]","[0.715, 0.232, 0.322]",1233,19,2,9664
False,False,14,False,"[95.116, 94.652, 94.148]","[0.374, 0.858, 0.488]",1233,15,3,9664
False,False,4,False,"[94.842, 94.46, 94.165]","[0.1, 0.666, 0.505]",1233,15,4,9664
False,False,81,False,"[95.014, 94.659, 94.273]","[0.272, 0.865, 0.613]",1233,16,5,9664
False,False,16,False,"[94.797, 94.399, 94.289]","[0.055, 0.605, 0.629]",1233,20,6,9664
False,False,55,False,"[94.97, 94.368, 94.297]","[0.228, 0.574, 0.637]",1233,17,7,9664
False,False,63,False,"[95.084, 94.609, 94.433]","[0.342, 0.815, 0.773]",1233,20,8,9664
False,False,27,False,"[95.068, 94.667, 94.604]","[0.326, 0.873, 0.944]",1233,21,9,9664
False,False,77,False,"[95.169, 94.769, 94.665]","[0.427, 0.975, 1.005]",1233,15,10,9664
False,False,18,False,"[95.334, 94.838, None]","[0.592, 1.044, None]",1233,12,11,9664
False,False,3,False,"[95.443, 94.934, None]","[0.701, 1.14, None]",1233,12,12,9664
False,False,31,False,"[95.356, 95.223, None]","[0.614, 1.429, None]",1233,15,13,9664
False,False,23,False,"[95.384, 95.241, None]","[0.642, 1.447, None]",1233,14,14,9664
False,False,10,False,"[95.287, 95.463, None]","[0.545, 1.669, None]",1233,15,15,9664
False,False,24,False,"[95.505, None, None]","[0.763, None, None]",1233,8,16,9664
False,False,20,False,"[95.516, None, None]","[0.774, None, None]",1233,6,17,9664
False,False,44,False,"[95.573, None, None]","[0.831, None, None]",1233,6,18,9664
False,False,22,False,"[95.746, None, None]","[1.004, None, None]",1233,9,19,9664
False,False,2,False,"[96.358, None, None]","[1.616, None, None]",1233,7,20,9664
