dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[76.819, 76.387, 75.915]","[0.088, 0.198, 0.0]",1231,21,1,9484
False,False,55,False,"[76.731, 76.189, 76.185]","[0.0, 0.0, 0.27]",1231,18,2,9484
False,False,11,False,"[76.805, 76.631, 76.274]","[0.074, 0.442, 0.359]",1231,22,3,9484
False,False,4,False,"[77.43, 76.75, 76.315]","[0.699, 0.561, 0.4]",1231,19,4,9484
False,False,16,False,"[76.984, 76.304, 76.435]","[0.253, 0.115, 0.52]",1231,20,5,9484
False,False,81,False,"[77.369, 76.601, 76.572]","[0.638, 0.412, 0.657]",1231,18,6,9484
False,False,63,False,"[77.062, 76.901, 76.724]","[0.331, 0.712, 0.809]",1231,23,7,9484
False,False,22,False,"[77.356, 76.791, 76.788]","[0.625, 0.602, 0.873]",1231,18,8,9484
False,False,18,False,"[77.376, 76.78, 77.072]","[0.645, 0.591, 1.157]",1231,23,9,9484
False,False,14,False,"[76.991, 76.71, 77.552]","[0.26, 0.521, 1.637]",1231,21,10,9484
False,False,44,False,"[77.499, 76.96, None]","[0.768, 0.771, None]",1231,15,11,9484
False,False,23,False,"[77.13, 77.167, None]","[0.399, 0.978, None]",1231,15,12,9484
False,False,77,False,"[77.543, 77.34, None]","[0.812, 1.151, None]",1231,15,13,9484
False,False,20,False,"[77.709, 77.427, None]","[0.978, 1.238, None]",1231,13,14,9484
False,False,31,False,"[77.617, 77.697, None]","[0.886, 1.508, None]",1231,21,15,9484
False,False,27,False,"[77.976, None, None]","[1.245, None, None]",1231,8,16,9484
False,False,10,False,"[77.982, None, None]","[1.251, None, None]",1231,11,17,9484
False,False,3,False,"[78.085, None, None]","[1.354, None, None]",1231,6,18,9484
False,False,24,False,"[78.188, None, None]","[1.457, None, None]",1231,9,19,9484
