dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,4,False,"[72.386, 71.872, 71.383]","[0.243, 0.219, 0.0]",1238,12,1,9535
False,False,1,False,"[72.306, 71.653, 71.403]","[0.163, 0.0, 0.02]",1238,12,2,9535
False,False,44,False,"[72.143, 71.792, 71.701]","[0.0, 0.139, 0.318]",1238,18,3,9535
False,False,63,False,"[72.456, 71.812, 71.703]","[0.313, 0.159, 0.32]",1238,16,4,9535
False,False,16,False,"[72.257, 72.038, 71.731]","[0.114, 0.385, 0.348]",1238,12,5,9535
False,False,55,False,"[72.403, 71.874, 71.736]","[0.26, 0.221, 0.353]",1238,12,6,9535
False,False,10,False,"[72.651, 72.079, 71.857]","[0.508, 0.426, 0.474]",1238,18,7,9535
False,False,11,False,"[72.477, 72.054, 72.061]","[0.334, 0.401, 0.678]",1238,18,8,9535
False,False,31,False,"[72.691, 72.109, 72.125]","[0.548, 0.456, 0.742]",1238,18,9,9535
True,False,81,False,"[72.46, 72.011, None]","[0.317, 0.358, None]",1238,16,10,9535
False,False,14,False,"[72.505, 72.128, None]","[0.362, 0.475, None]",1238,12,11,9535
False,False,77,False,"[72.758, 72.227, None]","[0.615, 0.574, None]",1238,12,12,9535
False,False,27,False,"[72.708, 72.31, None]","[0.565, 0.657, None]",1238,12,13,9535
False,False,18,False,"[72.881, 72.372, None]","[0.738, 0.719, None]",1238,15,14,9535
False,False,24,False,"[72.88, 72.738, None]","[0.737, 1.085, None]",1238,15,15,9535
False,False,20,False,"[72.937, None, None]","[0.794, None, None]",1238,6,16,9535
False,False,22,False,"[72.985, None, None]","[0.842, None, None]",1238,9,17,9535
False,False,3,False,"[73.075, None, None]","[0.932, None, None]",1238,9,18,9535
False,False,23,False,"[73.153, None, None]","[1.01, None, None]",1238,6,19,9535
False,False,2,False,"[73.509, None, None]","[1.366, None, None]",1238,9,20,9535
