dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,4,False,"[96.384, 96.047, 117.94]","[0.274, 0.441, 0.0]",1233,13,1,9668
False,False,44,False,"[97.181, 96.287, 119.201]","[1.071, 0.681, 1.261]",1233,15,2,9668
False,False,14,False,"[96.883, 96.119, 119.915]","[0.773, 0.513, 1.975]",1233,14,3,9668
False,False,1,False,"[96.456, 95.606, 120.028]","[0.346, 0.0, 2.088]",1233,12,4,9668
False,False,55,False,"[96.719, 96.052, 120.214]","[0.609, 0.446, 2.274]",1233,15,5,9668
False,False,11,False,"[96.11, 95.781, 120.375]","[0.0, 0.175, 2.435]",1233,12,6,9668
False,False,16,False,"[96.537, 95.711, 120.566]","[0.427, 0.105, 2.626]",1233,15,7,9668
False,False,81,False,"[96.542, 95.853, 120.99]","[0.432, 0.247, 3.05]",1233,15,8,9668
False,False,77,False,"[97.112, 96.056, 121.044]","[1.002, 0.45, 3.104]",1233,16,9,9668
False,False,24,False,"[97.544, 96.307, 123.537]","[1.434, 0.701, 5.597]",1233,16,10,9668
False,False,63,False,"[97.31, 96.345, None]","[1.2, 0.739, None]",1233,10,11,9668
False,False,20,False,"[97.033, 96.473, None]","[0.923, 0.867, None]",1233,10,12,9668
False,False,27,False,"[96.924, 96.478, None]","[0.814, 0.872, None]",1233,10,13,9668
False,False,3,False,"[97.321, 96.553, None]","[1.211, 0.947, None]",1233,9,14,9668
False,False,18,False,"[96.961, 96.677, None]","[0.851, 1.071, None]",1233,8,15,9668
False,False,10,False,"[97.632, None, None]","[1.522, None, None]",1233,6,16,9668
False,False,31,False,"[97.72, None, None]","[1.61, None, None]",1233,6,17,9668
False,False,23,False,"[97.812, None, None]","[1.702, None, None]",1233,6,18,9668
False,False,22,False,"[97.892, None, None]","[1.782, None, None]",1233,6,19,9668
False,False,2,False,"[97.923, None, None]","[1.813, None, None]",1233,6,20,9668
