dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,4,False,"[77.755, 75.54, 75.227]","[0.705, 0.0, 0.0]",1241,22,1,9562
False,False,81,False,"[77.504, 75.785, 75.249]","[0.454, 0.245, 0.022]",1241,21,2,9562
False,False,1,False,"[77.087, 75.77, 75.273]","[0.037, 0.23, 0.046]",1241,21,3,9562
False,False,55,False,"[77.244, 75.885, 75.696]","[0.194, 0.345, 0.469]",1241,26,4,9562
False,False,44,False,"[77.087, 76.307, 75.854]","[0.037, 0.767, 0.627]",1241,24,5,9562
False,False,16,False,"[77.437, 75.891, 75.905]","[0.387, 0.351, 0.678]",1241,22,6,9562
False,False,14,False,"[77.624, 76.117, 76.043]","[0.574, 0.577, 0.816]",1241,18,7,9562
False,False,18,False,"[77.405, 76.075, 76.244]","[0.355, 0.535, 1.017]",1241,22,8,9562
False,False,3,False,"[77.05, 76.202, 76.447]","[0.0, 0.662, 1.22]",1241,20,9,9562
False,False,22,False,"[77.436, 76.121, 76.477]","[0.386, 0.581, 1.25]",1241,20,10,9562
False,False,27,False,"[77.362, 76.317, None]","[0.312, 0.777, None]",1241,16,11,9562
False,False,77,False,"[77.487, 76.384, None]","[0.437, 0.844, None]",1241,19,12,9562
False,False,23,False,"[77.28, 76.429, None]","[0.23, 0.889, None]",1241,16,13,9562
False,False,2,False,"[77.77, 76.543, None]","[0.72, 1.003, None]",1241,13,14,9562
False,False,20,False,"[77.851, 76.548, None]","[0.801, 1.008, None]",1241,15,15,9562
False,False,11,False,"[77.886, None, None]","[0.836, None, None]",1241,6,16,9562
False,False,63,False,"[77.968, None, None]","[0.918, None, None]",1241,9,17,9562
False,False,24,False,"[78.037, None, None]","[0.987, None, None]",1241,12,18,9562
False,False,31,False,"[78.049, None, None]","[0.999, None, None]",1241,6,19,9562
False,False,10,False,"[78.166, None, None]","[1.116, None, None]",1241,6,20,9562
