dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[87.778, 87.529, 87.294]","[0.0, 0.048, 0.0]",1258,19,1,10018
False,False,81,False,"[87.901, 87.545, 87.304]","[0.123, 0.064, 0.01]",1258,18,2,10018
False,False,63,False,"[88.282, 87.599, 87.407]","[0.504, 0.118, 0.113]",1258,16,3,10018
False,False,16,False,"[88.552, 87.866, 87.67]","[0.774, 0.385, 0.376]",1258,19,4,10018
False,False,12,False,"[88.128, 87.798, 87.866]","[0.35, 0.317, 0.572]",1258,17,5,10018
False,False,55,False,"[88.354, 88.024, 88.164]","[0.576, 0.543, 0.87]",1258,23,6,10018
False,False,44,False,"[88.372, 88.102, 88.201]","[0.594, 0.621, 0.907]",1258,20,7,10018
False,False,22,False,"[88.226, 87.99, 88.204]","[0.448, 0.509, 0.91]",1258,16,8,10018
False,False,10,False,"[88.421, 88.025, 88.367]","[0.643, 0.544, 1.073]",1258,22,9,10018
True,False,4,False,"[87.805, 87.481, None]","[0.027, 0.0, None]",1258,11,10,10018
False,False,23,False,"[88.279, 88.109, None]","[0.501, 0.628, None]",1258,14,11,10018
False,False,30,False,"[88.561, 88.191, None]","[0.783, 0.71, None]",1258,11,12,10018
False,False,14,False,"[88.548, 88.303, None]","[0.77, 0.822, None]",1258,14,13,10018
False,False,6,False,"[88.571, 88.418, None]","[0.793, 0.937, None]",1258,12,14,10018
False,False,87,False,"[88.536, 88.648, None]","[0.758, 1.167, None]",1258,15,15,10018
False,False,18,False,"[88.645, None, None]","[0.867, None, None]",1258,9,16,10018
False,False,7,False,"[88.739, None, None]","[0.961, None, None]",1258,9,17,10018
False,False,27,False,"[88.782, None, None]","[1.004, None, None]",1258,8,18,10018
False,False,31,False,"[89.092, None, None]","[1.314, None, None]",1258,9,19,10018
False,False,5,False,"[89.462, None, None]","[1.684, None, None]",1258,8,20,10018
