dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,81,False,"[69.338, 68.964, 68.662]","[0.0, 0.09, 0.0]",1267,18,1,9916
False,False,4,False,"[69.469, 68.874, 68.674]","[0.131, 0.0, 0.012]",1267,18,2,9916
False,False,1,False,"[69.696, 69.122, 68.925]","[0.358, 0.248, 0.263]",1267,18,3,9916
False,False,6,False,"[69.966, 69.439, 69.208]","[0.628, 0.565, 0.546]",1267,18,4,9916
False,False,63,False,"[69.676, 69.313, 69.255]","[0.338, 0.439, 0.593]",1267,18,5,9916
False,False,16,False,"[69.906, 69.304, 69.34]","[0.568, 0.43, 0.678]",1267,22,6,9916
False,False,44,False,"[69.9, 69.261, 69.39]","[0.562, 0.387, 0.728]",1267,21,7,9916
False,False,30,False,"[69.779, 69.383, 69.5]","[0.441, 0.509, 0.838]",1267,18,8,9916
False,False,55,False,"[69.98, 69.472, 69.505]","[0.642, 0.598, 0.843]",1267,18,9,9916
False,False,14,False,"[69.95, 69.366, 69.63]","[0.612, 0.492, 0.968]",1267,17,10,9916
False,False,12,False,"[69.845, 69.493, None]","[0.507, 0.619, None]",1267,12,11,9916
False,False,22,False,"[69.954, 69.622, None]","[0.616, 0.748, None]",1267,15,12,9916
False,False,5,False,"[70.037, 69.622, None]","[0.699, 0.748, None]",1267,12,13,9916
False,False,10,False,"[69.894, 69.637, None]","[0.556, 0.763, None]",1267,15,14,9916
False,False,23,False,"[69.792, 69.652, None]","[0.454, 0.778, None]",1267,12,15,9916
False,False,43,False,"[70.104, None, None]","[0.766, None, None]",1267,9,16,9916
False,False,27,False,"[70.195, None, None]","[0.857, None, None]",1267,9,17,9916
False,False,31,False,"[70.197, None, None]","[0.859, None, None]",1267,9,18,9916
False,False,87,False,"[70.262, None, None]","[0.924, None, None]",1267,9,19,9916
True,False,18,False,"[None, None, None]","[None, None, None]",1267,2,,9916
