dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,44,False,"[91.212, 91.384, 90.849]","[0.0, 0.21, 0.0]",1255,15,1,9989
False,False,1,False,"[91.916, 91.521, 90.867]","[0.704, 0.347, 0.018]",1255,12,2,9989
False,False,81,False,"[91.723, 91.362, 90.929]","[0.511, 0.188, 0.08]",1255,13,3,9989
False,False,16,False,"[91.518, 91.561, 91.057]","[0.306, 0.387, 0.208]",1255,15,4,9989
False,False,63,False,"[91.952, 91.346, 91.169]","[0.74, 0.172, 0.32]",1255,18,5,9989
False,False,4,False,"[91.396, 91.174, 91.393]","[0.184, 0.0, 0.544]",1255,13,6,9989
False,False,12,False,"[91.999, 91.475, 91.738]","[0.787, 0.301, 0.889]",1255,17,7,9989
False,False,22,False,"[92.316, 91.794, 91.773]","[1.104, 0.62, 0.924]",1255,12,8,9989
False,False,23,False,"[92.462, 91.539, 91.852]","[1.25, 0.365, 1.003]",1255,14,9,9989
False,False,18,False,"[92.327, 91.742, 91.982]","[1.115, 0.568, 1.133]",1255,12,10,9989
False,False,14,False,"[92.121, 91.815, None]","[0.909, 0.641, None]",1255,8,11,9989
False,False,87,False,"[92.269, 91.978, None]","[1.057, 0.804, None]",1255,9,12,9989
False,False,55,False,"[92.457, 92.325, None]","[1.245, 1.151, None]",1255,10,13,9989
False,False,5,False,"[92.539, 92.564, None]","[1.327, 1.39, None]",1255,12,14,9989
True,False,6,False,"[92.171, None, None]","[0.959, None, None]",1255,8,15,9989
False,False,7,False,"[92.575, None, None]","[1.363, None, None]",1255,6,16,9989
False,False,10,False,"[92.64, None, None]","[1.428, None, None]",1255,6,17,9989
False,False,31,False,"[92.651, None, None]","[1.439, None, None]",1255,6,18,9989
False,False,27,False,"[92.675, None, None]","[1.463, None, None]",1255,6,19,9989
False,False,30,False,"[92.729, None, None]","[1.517, None, None]",1255,5,20,9989
