dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,16,False,"[75.582, 75.455, 75.372]","[0.371, 0.565, 0.0]",1266,18,1,9924
False,False,81,False,"[75.211, 74.941, 75.398]","[0.0, 0.051, 0.026]",1266,18,2,9924
False,False,4,False,"[75.523, 74.89, 75.413]","[0.312, 0.0, 0.041]",1266,18,3,9924
False,False,63,False,"[75.627, 75.201, 75.425]","[0.416, 0.311, 0.053]",1266,15,4,9924
False,False,14,False,"[75.281, 75.395, 75.481]","[0.07, 0.505, 0.109]",1266,15,5,9924
False,False,18,False,"[75.673, 75.129, 75.498]","[0.462, 0.239, 0.126]",1266,18,6,9924
False,False,5,False,"[75.586, 75.687, 75.725]","[0.375, 0.797, 0.353]",1266,18,7,9924
False,False,1,False,"[75.736, 75.547, 75.728]","[0.525, 0.657, 0.356]",1266,18,8,9924
False,False,30,False,"[75.849, 75.63, 75.821]","[0.638, 0.74, 0.449]",1266,18,9,9924
False,False,6,False,"[75.516, 75.469, 75.915]","[0.305, 0.579, 0.543]",1266,15,10,9924
False,False,87,False,"[75.75, 75.694, None]","[0.539, 0.804, None]",1266,12,11,9924
False,False,44,False,"[75.733, 75.702, None]","[0.522, 0.812, None]",1266,12,12,9924
False,False,55,False,"[75.652, 75.781, None]","[0.441, 0.891, None]",1266,15,13,9924
False,False,43,False,"[75.875, 76.159, None]","[0.664, 1.269, None]",1266,12,14,9924
False,False,12,False,"[75.782, 76.386, None]","[0.571, 1.496, None]",1266,9,15,9924
False,False,22,False,"[75.899, None, None]","[0.688, None, None]",1266,6,16,9924
False,False,10,False,"[75.966, None, None]","[0.755, None, None]",1266,6,17,9924
False,False,31,False,"[76.023, None, None]","[0.812, None, None]",1266,6,18,9924
False,False,27,False,"[76.081, None, None]","[0.87, None, None]",1266,6,19,9924
False,False,23,False,"[76.223, None, None]","[1.012, None, None]",1266,9,20,9924
