dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,81,False,"[72.551, 71.998, 71.546]","[0.0, 0.0, 0.0]",1262,14,1,9967
False,False,4,False,"[72.799, 72.056, 71.755]","[0.248, 0.058, 0.209]",1262,15,2,9967
False,False,1,False,"[72.798, 72.358, 71.848]","[0.247, 0.36, 0.302]",1262,12,3,9967
False,False,63,False,"[72.806, 72.407, 71.848]","[0.255, 0.409, 0.302]",1262,12,4,9967
False,False,44,False,"[73.058, 72.447, 72.045]","[0.507, 0.449, 0.499]",1262,15,5,9967
False,False,12,False,"[72.815, 72.585, 72.111]","[0.264, 0.587, 0.565]",1262,18,6,9967
False,False,16,False,"[73.014, 72.495, 72.131]","[0.463, 0.497, 0.585]",1262,12,7,9967
False,False,10,False,"[73.081, 72.611, 72.199]","[0.53, 0.613, 0.653]",1262,18,8,9967
False,False,6,False,"[73.139, 72.461, 72.252]","[0.588, 0.463, 0.706]",1262,15,9,9967
False,False,14,False,"[73.102, 72.523, 72.284]","[0.551, 0.525, 0.738]",1262,14,10,9967
False,False,23,False,"[73.044, 72.641, None]","[0.493, 0.643, None]",1262,14,11,9967
False,False,5,False,"[73.045, 72.756, None]","[0.494, 0.758, None]",1262,12,12,9967
False,False,30,False,"[73.039, 72.763, None]","[0.488, 0.765, None]",1262,12,13,9967
False,False,18,False,"[73.038, 73.058, None]","[0.487, 1.06, None]",1262,15,14,9967
False,False,87,False,"[73.074, 73.315, None]","[0.523, 1.317, None]",1262,15,15,9967
False,False,27,False,"[73.19, None, None]","[0.639, None, None]",1262,6,16,9967
False,False,31,False,"[73.201, None, None]","[0.65, None, None]",1262,9,17,9967
False,False,55,False,"[73.203, None, None]","[0.652, None, None]",1262,6,18,9967
False,False,43,False,"[73.334, None, None]","[0.783, None, None]",1262,7,19,9967
False,False,22,False,"[73.385, None, None]","[0.834, None, None]",1262,6,20,9967
