dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[87.943, 87.502, 86.983]","[0.256, 0.356, 0.0]",1256,17,1,10002
False,False,4,False,"[87.845, 87.146, 86.995]","[0.158, 0.0, 0.012]",1256,15,2,10002
False,False,81,False,"[87.687, 87.507, 87.027]","[0.0, 0.361, 0.044]",1256,18,3,10002
False,False,16,False,"[87.92, 87.555, 87.299]","[0.233, 0.409, 0.316]",1256,21,4,10002
False,False,63,False,"[87.843, 87.4, 87.318]","[0.156, 0.254, 0.335]",1256,17,5,10002
False,False,12,False,"[87.968, 87.639, 87.555]","[0.281, 0.493, 0.572]",1256,18,6,10002
False,False,6,False,"[88.278, 87.775, 87.569]","[0.591, 0.629, 0.586]",1256,18,7,10002
False,False,44,False,"[87.942, 87.61, 87.61]","[0.255, 0.464, 0.627]",1256,23,8,10002
False,False,23,False,"[88.218, 87.783, 87.615]","[0.531, 0.637, 0.632]",1256,20,9,10002
False,False,87,False,"[88.228, 87.711, 87.867]","[0.541, 0.565, 0.884]",1256,21,10,10002
False,False,10,False,"[88.186, 87.822, None]","[0.499, 0.676, None]",1256,12,11,10002
False,False,55,False,"[88.209, 87.836, None]","[0.522, 0.69, None]",1256,15,12,10002
False,False,14,False,"[88.337, 87.897, None]","[0.65, 0.751, None]",1256,12,13,10002
False,False,30,False,"[88.554, 87.906, None]","[0.867, 0.76, None]",1256,12,14,10002
False,False,22,False,"[87.967, 88.0, None]","[0.28, 0.854, None]",1256,12,15,10002
False,False,27,False,"[88.57, None, None]","[0.883, None, None]",1256,9,16,10002
False,False,5,False,"[88.622, None, None]","[0.935, None, None]",1256,9,17,10002
False,False,31,False,"[88.696, None, None]","[1.009, None, None]",1256,9,18,10002
False,False,7,False,"[88.877, None, None]","[1.19, None, None]",1256,9,19,10002
False,False,18,False,"[89.271, None, None]","[1.584, None, None]",1256,5,20,10002
