dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[85.886, 85.316, 84.892]","[0.0, 0.232, 0.0]",1277,18,1,9943
False,False,81,False,"[85.963, 85.316, 84.995]","[0.077, 0.232, 0.103]",1277,21,2,9943
False,False,4,False,"[86.123, 85.231, 85.01]","[0.237, 0.147, 0.118]",1277,20,3,9943
False,False,63,False,"[86.236, 85.637, 85.029]","[0.35, 0.553, 0.137]",1277,19,4,9943
False,False,44,False,"[86.296, 85.084, 85.095]","[0.41, 0.0, 0.203]",1277,19,5,9943
False,False,16,False,"[86.186, 85.133, 85.121]","[0.3, 0.049, 0.229]",1277,21,6,9943
False,False,12,False,"[86.265, 85.62, 85.374]","[0.379, 0.536, 0.482]",1277,18,7,9943
False,False,87,False,"[86.005, 85.534, 85.471]","[0.119, 0.45, 0.579]",1277,18,8,9943
False,False,14,False,"[86.108, 85.593, 85.621]","[0.222, 0.509, 0.729]",1277,15,9,9943
False,False,10,False,"[86.328, 85.711, 85.785]","[0.442, 0.627, 0.893]",1277,21,10,9943
False,False,55,False,"[86.175, 85.746, None]","[0.289, 0.662, None]",1277,12,11,9943
False,False,22,False,"[86.275, 85.826, None]","[0.389, 0.742, None]",1277,13,12,9943
False,False,6,False,"[86.177, 85.864, None]","[0.291, 0.78, None]",1277,12,13,9943
False,False,23,False,"[86.093, 85.889, None]","[0.207, 0.805, None]",1277,13,14,9943
False,False,31,False,"[86.136, 85.95, None]","[0.25, 0.866, None]",1277,12,15,9943
False,False,30,False,"[86.44, None, None]","[0.554, None, None]",1277,6,16,9943
False,False,5,False,"[86.446, None, None]","[0.56, None, None]",1277,9,17,9943
False,False,18,False,"[86.504, None, None]","[0.618, None, None]",1277,9,18,9943
False,False,27,False,"[86.574, None, None]","[0.688, None, None]",1277,9,19,9943
False,False,43,False,"[87.06, None, None]","[1.174, None, None]",1277,6,20,9943
