dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,81,False,"[101.769, 102.128, 100.51]","[0.0, 0.716, 0.0]",1265,11,1,9930
False,False,1,False,"[102.043, 101.583, 100.987]","[0.274, 0.171, 0.477]",1265,9,2,9930
False,False,4,False,"[102.068, 101.412, 101.128]","[0.299, 0.0, 0.618]",1265,12,3,9930
False,False,16,False,"[102.763, 101.786, 101.278]","[0.994, 0.374, 0.768]",1265,12,4,9930
False,False,31,False,"[102.822, 101.801, 101.565]","[1.053, 0.389, 1.055]",1265,12,5,9930
False,False,55,False,"[102.776, 102.051, 101.761]","[1.007, 0.639, 1.251]",1265,11,6,9930
False,False,87,False,"[103.024, 102.019, 101.857]","[1.255, 0.607, 1.347]",1265,12,7,9930
False,False,10,False,"[103.171, 101.949, 101.959]","[1.402, 0.537, 1.449]",1265,12,8,9930
False,False,6,False,"[102.711, 102.088, 101.971]","[0.942, 0.676, 1.461]",1265,11,9,9930
False,False,5,False,"[102.806, 101.901, 102.176]","[1.037, 0.489, 1.666]",1265,12,10,9930
False,False,30,False,"[102.897, 102.169, None]","[1.128, 0.757, None]",1265,9,11,9930
False,False,22,False,"[102.912, 102.184, None]","[1.143, 0.772, None]",1265,9,12,9930
False,False,63,False,"[102.65, 102.33, None]","[0.881, 0.918, None]",1265,8,13,9930
False,False,14,False,"[102.427, 102.453, None]","[0.658, 1.041, None]",1265,7,14,9930
False,False,18,False,"[102.736, 102.832, None]","[0.967, 1.42, None]",1265,8,15,9930
False,False,23,False,"[103.212, None, None]","[1.443, None, None]",1265,6,16,9930
False,False,27,False,"[103.217, None, None]","[1.448, None, None]",1265,6,17,9930
False,False,44,False,"[103.408, None, None]","[1.639, None, None]",1265,6,18,9930
False,False,43,False,"[103.587, None, None]","[1.818, None, None]",1265,6,19,9930
False,False,12,False,"[105.394, None, None]","[3.625, None, None]",1265,6,20,9930
