dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[82.877, 82.752, 82.207]","[0.272, 0.022, 0.0]",1276,18,1,9835
False,False,4,False,"[83.178, 82.804, 82.408]","[0.573, 0.074, 0.201]",1276,17,2,9835
False,False,81,False,"[82.605, 83.021, 82.437]","[0.0, 0.291, 0.23]",1276,17,3,9835
False,False,63,False,"[83.247, 82.73, 82.645]","[0.642, 0.0, 0.438]",1276,18,4,9835
False,False,16,False,"[83.163, 82.948, 82.73]","[0.558, 0.218, 0.523]",1276,18,5,9835
False,False,14,False,"[83.071, 82.861, 82.902]","[0.466, 0.131, 0.695]",1276,18,6,9835
False,False,5,False,"[83.374, 82.874, 82.904]","[0.769, 0.144, 0.697]",1276,21,7,9835
False,False,31,False,"[83.334, 83.023, 82.913]","[0.729, 0.293, 0.706]",1276,18,8,9835
False,False,6,False,"[83.373, 82.997, 83.072]","[0.768, 0.267, 0.865]",1276,18,9,9835
True,False,22,False,"[83.386, 83.034, None]","[0.781, 0.304, None]",1276,17,10,9835
False,False,87,False,"[83.254, 83.041, None]","[0.649, 0.311, None]",1276,11,11,9835
False,False,55,False,"[83.187, 83.042, None]","[0.582, 0.312, None]",1276,12,12,9835
False,False,30,False,"[83.265, 83.077, None]","[0.66, 0.347, None]",1276,14,13,9835
False,False,12,False,"[82.894, 83.08, None]","[0.289, 0.35, None]",1276,12,14,9835
False,False,18,False,"[83.316, 83.097, None]","[0.711, 0.367, None]",1276,15,15,9835
False,False,44,False,"[83.394, None, None]","[0.789, None, None]",1276,9,16,9835
False,False,23,False,"[83.416, None, None]","[0.811, None, None]",1276,6,17,9835
False,False,27,False,"[83.45, None, None]","[0.845, None, None]",1276,9,18,9835
False,False,10,False,"[83.468, None, None]","[0.863, None, None]",1276,9,19,9835
False,False,43,False,"[83.89, None, None]","[1.285, None, None]",1276,9,20,9835
