dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,12,False,"[87.858, 87.384, 86.482]","[0.17, 0.275, 0.0]",1259,15,1,10024
False,False,81,False,"[87.951, 87.354, 86.527]","[0.263, 0.245, 0.045]",1259,12,2,10024
False,False,4,False,"[87.89, 87.109, 86.582]","[0.202, 0.0, 0.1]",1259,14,3,10024
False,False,1,False,"[87.953, 87.245, 86.737]","[0.265, 0.136, 0.255]",1259,16,4,10024
False,False,63,False,"[87.688, 87.666, 86.791]","[0.0, 0.557, 0.309]",1259,15,5,10024
False,False,16,False,"[88.325, 87.467, 86.808]","[0.637, 0.358, 0.326]",1259,16,6,10024
False,False,44,False,"[88.231, 87.546, 87.03]","[0.543, 0.437, 0.548]",1259,15,7,10024
False,False,23,False,"[87.859, 87.697, 87.193]","[0.171, 0.588, 0.711]",1259,15,8,10024
False,False,6,False,"[88.394, 87.773, 87.543]","[0.706, 0.664, 1.061]",1259,12,9,10024
False,False,14,False,"[88.455, 87.766, 87.79]","[0.767, 0.657, 1.308]",1259,13,10,10024
False,False,27,False,"[88.542, 87.85, None]","[0.854, 0.741, None]",1259,9,11,10024
False,False,31,False,"[88.303, 88.07, None]","[0.615, 0.961, None]",1259,9,12,10024
False,False,10,False,"[88.345, 88.167, None]","[0.657, 1.058, None]",1259,9,13,10024
False,False,30,False,"[88.914, 88.375, None]","[1.226, 1.266, None]",1259,8,14,10024
True,False,55,False,"[87.899, None, None]","[0.211, None, None]",1259,8,15,10024
False,False,18,False,"[89.028, None, None]","[1.34, None, None]",1259,6,16,10024
False,False,7,False,"[89.171, None, None]","[1.483, None, None]",1259,5,17,10024
False,False,22,False,"[89.246, None, None]","[1.558, None, None]",1259,5,18,10024
False,False,5,False,"[89.312, None, None]","[1.624, None, None]",1259,6,19,10024
False,False,87,False,"[89.825, None, None]","[2.137, None, None]",1259,5,20,10024
