dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,4,False,"[76.899, 76.252, 75.586]","[0.166, 0.0, 0.0]",1272,21,1,9873
False,False,16,False,"[77.024, 76.658, 75.848]","[0.291, 0.406, 0.262]",1272,20,2,9873
False,False,44,False,"[76.736, 76.458, 75.938]","[0.003, 0.206, 0.352]",1272,21,3,9873
False,False,63,False,"[76.895, 76.537, 76.034]","[0.162, 0.285, 0.448]",1272,18,4,9873
False,False,1,False,"[77.076, 76.605, 76.07]","[0.343, 0.353, 0.484]",1272,18,5,9873
False,False,12,False,"[77.291, 76.773, 76.118]","[0.558, 0.521, 0.532]",1272,18,6,9873
False,False,55,False,"[77.171, 76.607, 76.172]","[0.438, 0.355, 0.586]",1272,18,7,9873
False,False,81,False,"[77.158, 76.737, 76.174]","[0.425, 0.485, 0.588]",1272,20,8,9873
False,False,6,False,"[76.733, 76.804, 76.252]","[0.0, 0.552, 0.666]",1272,18,9,9873
False,False,87,False,"[77.04, 76.787, 76.46]","[0.307, 0.535, 0.874]",1272,21,10,9873
False,False,22,False,"[77.234, 76.816, None]","[0.501, 0.564, None]",1272,12,11,9873
False,False,31,False,"[76.948, 76.837, None]","[0.215, 0.585, None]",1272,15,12,9873
False,False,27,False,"[77.251, 77.016, None]","[0.518, 0.764, None]",1272,15,13,9873
False,False,14,False,"[77.232, 77.103, None]","[0.499, 0.851, None]",1272,15,14,9873
False,False,30,False,"[76.961, 78.072, None]","[0.228, 1.82, None]",1272,13,15,9873
False,False,5,False,"[77.412, None, None]","[0.679, None, None]",1272,9,16,9873
False,False,23,False,"[77.49, None, None]","[0.757, None, None]",1272,9,17,9873
False,False,10,False,"[77.546, None, None]","[0.813, None, None]",1272,9,18,9873
False,False,18,False,"[77.606, None, None]","[0.873, None, None]",1272,9,19,9873
False,False,43,False,"[77.67, None, None]","[0.937, None, None]",1272,8,20,9873
