meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,sector_sum,avg_speed_est
1254,9689,10,2,2025-03-15T05:03:33.038000+00:00,26.64,17.369,32.83,288.0,323.0,0,76.839,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2048]",322.0,76.839,311.0
1254,9689,7,3,2025-03-15T05:03:37.221000+00:00,36.122,24.182,46.541,216.0,228.0,0,106.845,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",275.0,106.845,239.66666666666666
1254,9689,27,3,2025-03-15T05:03:45.153000+00:00,35.788,21.248,,246.0,268.0,0,159.798,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",232.0,,248.66666666666666
1254,9689,12,2,2025-03-15T05:03:52.138000+00:00,26.892,17.476,33.081,283.0,323.0,0,77.449,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",324.0,77.449,310.0
1254,9689,55,3,2025-03-15T05:03:54.121000+00:00,37.899,26.6,53.059,221.0,247.0,0,117.558,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",237.0,117.55799999999999,235.0
1254,9689,16,2,2025-03-15T05:04:02.185000+00:00,26.558,17.265,32.63,290.0,323.0,0,76.453,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",324.0,76.453,312.3333333333333
1254,9689,14,3,2025-03-15T05:04:06.177000+00:00,34.049,21.436,,186.0,237.0,0,205.482,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",262.0,,228.33333333333334
1254,9689,44,2,2025-03-15T05:04:13.200000+00:00,26.49,17.391,32.863,290.0,319.0,0,76.744,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2051, 2049, 2049, 2049, 2048]",323.0,76.744,310.6666666666667
1254,9689,30,3,2025-03-15T05:04:21.854000+00:00,36.238,20.969,,250.0,261.0,0,217.088,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",278.0,,263.0
1254,9689,4,2,2025-03-15T05:04:26.041000+00:00,26.383,17.285,32.335,290.0,322.0,0,76.003,"[2049, 2049, 2049, 2051, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2048, 2048]",324.0,76.003,312.0
1254,9689,23,3,2025-03-15T05:04:27.890000+00:00,41.026,22.838,40.756,220.0,251.0,0,104.62,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",242.0,104.62,237.66666666666666
1254,9689,18,3,2025-03-15T05:04:34.988000+00:00,35.543,22.971,,215.0,243.0,0,177.852,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",240.0,,232.66666666666666
1254,9689,10,3,2025-03-15T05:04:49.848000+00:00,39.233,22.133,49.629,236.0,236.0,0,110.995,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",238.0,110.995,236.66666666666666
1254,9689,81,2,2025-03-15T05:05:07.673000+00:00,26.452,17.204,32.501,290.0,322.0,0,76.157,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]","[2051, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",321.0,76.15700000000001,311.0
1254,9689,12,3,2025-03-15T05:05:09.638000+00:00,40.633,23.383,,178.0,258.0,0,253.879,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",270.0,,235.33333333333334
1254,9689,16,3,2025-03-15T05:05:18.735000+00:00,38.091,21.577,62.517,236.0,214.0,0,122.185,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",226.0,122.185,225.33333333333334
1254,9689,7,4,2025-03-15T05:05:24.168000+00:00,38.348,23.06,40.754,213.0,222.0,0,102.162,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",161.0,102.162,198.66666666666666
1254,9689,44,3,2025-03-15T05:05:29.863000+00:00,38.912,22.17,79.372,228.0,265.0,0,140.454,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",191.0,140.454,228.0
1254,9689,4,3,2025-03-15T05:05:42.149000+00:00,37.18,23.115,62.055,227.0,236.0,0,122.35,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",272.0,122.35,245.0
1254,9689,55,4,2025-03-15T05:05:51.750000+00:00,45.125,24.914,39.086,211.0,249.0,0,109.125,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",91.0,109.125,183.66666666666666
1254,9689,1,2,2025-03-15T05:05:55.056000+00:00,26.366,17.171,32.481,291.0,327.0,0,76.018,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2048]",328.0,76.018,315.3333333333333
1254,9689,23,4,2025-03-15T05:06:12.651000+00:00,39.183,22.548,42.687,196.0,269.0,0,104.418,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",221.0,104.41799999999999,228.66666666666666
1254,9689,81,3,2025-03-15T05:06:23.924000+00:00,42.024,22.928,52.312,209.0,241.0,0,117.264,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",148.0,117.264,199.33333333333334
1254,9689,5,4,2025-03-15T05:06:26.195000+00:00,26.423,17.272,33.076,289.0,326.0,0,76.771,"[2051, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",326.0,76.77099999999999,313.6666666666667
1254,9689,10,4,2025-03-15T05:06:40.833000+00:00,43.056,20.839,43.054,,252.0,0,106.949,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",143.0,106.949,
1254,9689,7,5,2025-03-15T05:07:06.339000+00:00,26.534,17.153,33.042,288.0,326.0,0,76.729,"[2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2048, 2048, 2048, 2048, 2048]",323.0,76.729,312.3333333333333
1254,9689,1,3,2025-03-15T05:07:11.022000+00:00,37.899,23.269,,171.0,264.0,0,368.703,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",251.0,,228.66666666666666
1254,9689,55,5,2025-03-15T05:07:40.707000+00:00,26.466,17.168,32.806,289.0,326.0,0,76.44,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049]",323.0,76.44,312.6666666666667
1254,9689,5,5,2025-03-15T05:07:43.042000+00:00,32.114,20.072,,250.0,261.0,0,462.431,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",263.0,,258.0
1254,9689,23,5,2025-03-15T05:07:56.952000+00:00,26.58,17.141,32.842,290.0,329.0,0,76.563,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2051, 2051, 2051]","[2049, 2051, 2049, 2049, 2049, 2048, 2048, 2049]",325.0,76.56299999999999,314.6666666666667
